technology_id,technology,category,description,origin_status,origin_source_ids,invariant_ids,unit_count,unit_ids,review_result,notes
TECH-011,Query理解・計画,Retrieval,本文中で「Query理解・計画」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-007;INV-021,10,2.1.3;2.2.2;4.1.1;4.1.3;4.1.5;4.1.6;4.6.1;INTRO-4;7.8.3;7.9.1,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-012,Query変換,Retrieval,本文中で「Query変換」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-061;SRC-062;SRC-063;SRC-065;SRC-145,INV-007,12,4.2.1;4.2.2;4.2.3;4.2.4;4.3.5;4.5.5;4.7.1;6.7.2;7.4.3;9.11.1;9.11.2;9.2.2,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-013,Sparse retrieval,Retrieval,本文中で「Sparse retrieval」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-005;SRC-068;SRC-069;SRC-070,INV-008,20,1.7.1;2.1.3;3.6.1;3.6.4;3.9.1;3.9.3;4.3.1;4.3.3;4.3.4;4.3.5;4.4.1;4.4.2;4.5.1;4.5.4;4.6.1;4.7.1;5.3.1;5.3.2;7.4.3;11.3.1,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-014,Dense retrieval,Retrieval,本文中で「Dense retrieval」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-005;SRC-043;SRC-045;SRC-072;SRC-073;SRC-074;SRC-075;SRC-014;SRC-146;SRC-165;SRC-167;SRC-065,INV-006;INV-008,50,1.1.1;1.7.1;2.1.3;2.2.2;2.8.1;2.8.2;INTRO-2;3.5.1;3.5.2;3.6.1;3.6.4;3.6.6;3.8.1;4.3.1;4.4.1;4.4.2;4.4.3;4.4.5;4.5.1;4.6.2;4.7.1;5.2.1;5.2.3;5.2.4;5.2.5;5.3.1;5.3.2;5.3.4;5.4.3;5.5.1;5.5.3;5.8.1;5.8.2;7.1.2;7.4.2;7.4.3;7.6.4;8.1.2;8.4.2;8.8.2;INTRO-8;9.11.2;9.2.2;9.3.5;9.6.4;9.7.4;INTRO-9;11.3.1;11.3.2;11.3.3,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-015,Hybrid・Fusion,Retrieval,本文中で「Hybrid・Fusion」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-078;SRC-064,INV-008,17,2.1.3;2.3.1;3.7.1;4.1.3;4.1.5;4.2.2;4.3.1;4.5.1;4.5.4;4.6.4;INTRO-4;5.3.1;5.3.4;7.4.3;9.11.2;9.3.3;11.3.1,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-016,Retrieval-time filtering,Retrieval,本文中で「Retrieval-time filtering」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-001;INV-002;INV-003,6,2.1.3;4.1.4;4.4.1;4.6.1;4.6.2;4.6.3,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-017,Dedup・Diversity,Post-retrieval,本文中で「Dedup・Diversity」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-080;SRC-081;SRC-082,INV-008,16,2.1.3;4.5.4;5.2.1;5.2.2;5.2.3;5.2.4;5.2.5;5.4.1;5.6.1;5.8.3;INTRO-5;7.5.1;7.5.3;9.5.2;9.7.4;11.3.1,整合,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-018,Reranking,Post-retrieval,本文中で「Reranking」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-084;SRC-086;SRC-087;SRC-082,INV-008;INV-020,34,2.1.3;2.7.1;2.7.2;2.7.3;2.7.4;3.9.3;4.1.5;4.4.1;4.5.1;4.5.6;5.2.3;5.2.4;5.3.1;5.3.2;5.3.3;5.3.4;5.8.3;INTRO-5;7.10.1;7.10.2;7.5.2;7.5.6;7.8.1;7.9.1;8.4.1;8.5.2;8.5.4;8.6.1;8.6.3;9.1.3;9.11.1;9.5.2;INTRO-10;11.3.1,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-019,Context compression,Post-retrieval,本文中で「Context compression」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-089;SRC-091;SRC-092;SRC-093,INV-004;INV-009,9,2.1.3;5.4.1;5.4.2;7.1.2;7.5.4;8.5.2;8.6.3;9.5.3;11.3.4,整合,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-020,Evidence Set,Post-retrieval,本文中で「Evidence Set」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-004;INV-009;INV-010,28,2.1.1;2.1.3;2.4.2;2.5.1;2.6.1;2.7.1;2.7.2;2.7.3;2.7.4;2.8.1;5.5.1;5.5.4;5.6.1;5.8.1;5.8.3;INTRO-5;6.2.2;6.2.3;6.2.4;6.3.1;6.5.2;6.6.1;6.6.4;INTRO-6;7.10.1;7.8.1;9.11.1;INTRO-10,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-021,Context packing,Post-retrieval,本文中で「Context packing」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-035;SRC-171,INV-009;INV-021,13,2.1.3;3.4.6;5.5.1;5.6.1;5.6.2;5.8.2;7.10.1;7.5.4;7.9.1;9.5.1;9.5.3;INTRO-9;11.3.4,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-022,矛盾・版・時点,Post-retrieval,本文中で「矛盾・版・時点」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-005;INV-010;INV-013,91,2.1.3;2.2.1;2.3.1;2.4.1;2.4.2;2.5.1;2.7.2;3.1.1;3.1.2;3.1.3;3.1.6;3.2.5;3.2.6;3.4.5;3.4.7;3.5.1;3.5.2;3.5.3;3.5.6;3.7.6;4.1.1;4.1.2;4.1.3;4.1.6;4.2.1;4.4.2;4.5.3;4.6.1;4.6.2;4.7.3;5.1.1;5.1.3;5.2.1;5.2.3;5.3.1;5.4.2;5.5.1;5.5.2;5.5.4;5.6.1;5.6.3;5.7.1;5.7.2;5.7.3;5.7.4;5.8.1;INTRO-5;6.1.1;6.1.3;6.1.4;6.2.3;6.3.1;6.3.2;6.4.2;6.5.1;6.5.2;6.6.2;6.6.3;6.6.4;6.7.1;INTRO-6;7.1.3;7.2.1;7.2.2;7.3.4;7.5.2;7.5.3;7.5.4;7.5.5;7.6.2;7.6.4;7.6.6;7.7.1;7.7.3;7.7.5;8.1.2;8.4.2;8.7.2;8.7.3;8.7.4;8.8.3;8.8.4;INTRO-8;9.1.2;9.10.3;9.10.5;9.2.3;9.3.3;9.6.4;9.7.1;9.9.6,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-023,Grounded generation,Generation,本文中で「Grounded generation」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-011;INV-012;INV-014,11,1.1.2;1.2.1;2.1.3;2.5.2;6.1.1;6.1.3;6.7.1;INTRO-6;7.1.1;8.4.2;9.4.4,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-024,Structured output,Generation,本文中で「Structured output」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-022,4,3.8.1;6.1.4;6.2.2;INTRO-6,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-025,Answerability・Refusal,Generation,本文中で「Answerability・Refusal」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-009;INV-013,56,1.3.4;INTRO-1;2.1.1;2.1.2;2.1.3;2.4.2;2.5.1;2.5.2;2.6.1;2.7.2;2.8.1;3.6.2;3.9.1;3.9.4;4.5.4;4.6.4;5.3.3;5.4.2;5.5.4;5.6.4;5.7.1;5.7.3;5.8.3;INTRO-5;6.1.1;6.1.3;6.1.4;6.2.2;6.2.3;6.2.4;6.3.1;6.3.2;6.6.1;6.6.4;INTRO-6;7.1.4;7.1.5;7.2.1;7.3.6;7.5.5;7.6.1;7.6.4;7.7.1;7.7.3;7.8.1;7.8.2;INTRO-7;8.5.1;8.6.1;8.7.4;9.1.1;9.10.5;9.4.5;9.5.4;INTRO-10;11.3.3,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-026,Citation,Generation,本文中で「Citation」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-003;SRC-037,INV-004;INV-012;INV-019,140,1.1.2;1.1.3;1.2.1;1.3.2;1.3.3;1.7.1;1.7.2;INTRO-1;2.1.1;2.1.3;2.2.1;2.4.2;2.5.1;2.5.2;2.6.1;2.7.1;2.7.2;2.7.3;2.7.4;2.8.1;3.1.1;3.1.2;3.1.3;3.1.5;3.1.6;3.2.3;3.2.5;3.3.1;3.3.2;3.3.3;3.3.4;3.3.6;3.4.1;3.4.2;3.4.4;3.4.5;3.4.6;3.4.7;3.5.1;3.5.2;3.5.3;3.5.6;3.7.3;3.7.6;3.9.1;INTRO-3;4.1.2;4.2.2;4.2.3;4.3.5;4.4.5;5.2.2;5.2.5;5.4.1;5.4.2;5.4.3;5.4.4;5.5.1;5.5.3;5.6.1;5.6.2;5.6.3;5.6.4;5.7.4;5.8.1;5.8.2;INTRO-5;6.1.1;6.1.2;6.1.3;6.1.4;6.2.1;6.2.3;6.2.4;6.3.1;6.3.2;6.4.1;6.4.2;6.4.3;6.5.2;6.6.1;6.6.2;6.6.3;6.7.1;INTRO-6;7.1.3;7.1.5;7.3.3;7.3.4;7.3.6;7.5.4;7.5.6;7.6.1;7.6.3;7.6.5;7.6.6;7.7.1;7.7.2;7.7.4;7.8.1;7.9.1;8.1.5;8.2.1;8.2.2;8.2.5;8.3.3;8.4.1;8.4.2;8.4.4;8.5.2;8.5.3;8.5.4;8.6.1;8.6.5;8.7.4;8.8.2;9.1.1;9.10.1;9.10.2;9.10.3;9.10.5;9.11.3;9.2.3;9.2.5;9.3.1;9.3.5;9.4.4;9.5.1;9.5.2;9.5.3;9.5.4;9.6.1;9.6.3;9.6.4;9.7.1;9.7.4;9.8.1;9.8.4;9.8.5;11.3.3,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-027,Claim-level verification,Generation,本文中で「Claim-level verification」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-010;INV-011;INV-012,14,2.1.3;INTRO-4;5.5.2;6.1.4;6.4.2;6.6.1;6.6.2;6.6.3;INTRO-6;7.3.6;7.7.6;7.9.1;8.5.1;9.1.1,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-028,Conversational RAG,Advanced RAG,本文中で「Conversational RAG」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-144;SRC-145,INV-002;INV-007;INV-024,19,2.1.3;2.5.2;2.8.2;4.1.1;6.1.1;6.7.1;6.7.2;INTRO-6;7.4.1;8.1.3;8.6.3;9.11.1;9.11.2;9.11.3;9.2.1;9.2.2;9.2.3;9.2.4;9.9.4,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-029,Tool use・Agentic RAG,Advanced RAG,本文中で「Tool use・Agentic RAG」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-116;SRC-163;SRC-174,INV-014;INV-015;INV-016;INV-021;INV-023,13,2.8.2;4.7.4;INTRO-6;7.7.5;8.1.4;9.11.1;9.11.2;9.11.3;9.9.1;9.9.3;9.9.6;INTRO-9;11.3.4,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-030,評価データセット,Evaluation,本文中で「評価データセット」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-020,16,3.8.1;INTRO-3;4.5.1;4.5.4;4.7.1;4.7.2;5.3.3;5.3.4;7.2.1;7.2.3;7.2.4;7.4.1;7.5.2;7.9.1;INTRO-7;9.1.1,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-031,Retrieval評価,Evaluation,本文中で「Retrieval評価」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-111,INV-020,20,2.3.2;2.6.1;2.7.1;3.6.5;3.9.1;3.9.4;4.3.3;4.4.2;4.5.4;4.7.1;INTRO-4;7.1.2;7.3.5;7.4.1;7.4.2;7.4.3;7.4.5;7.5.2;7.5.6;7.8.1,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-032,Generation評価,Evaluation,本文中で「Generation評価」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-051;SRC-053;SRC-072;SRC-106;SRC-047;SRC-112;SRC-114,INV-009;INV-011;INV-012;INV-020,18,2.6.1;2.7.1;2.7.2;2.7.4;3.5.3;3.7.3;3.7.7;4.4.2;6.1.4;7.1.3;7.1.4;7.2.3;7.3.5;7.6.2;7.6.3;7.7.1;7.7.2;11.3.1,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-033,Regression・A/B・Canary,Evaluation・運用,本文中で「Regression・A/B・Canary」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-017;INV-018;INV-020,42,2.6.2;2.7.4;2.8.1;3.3.1;3.4.1;3.4.2;3.6.5;3.8.1;3.8.2;3.9.4;INTRO-3;4.3.2;4.4.3;5.2.1;5.7.4;6.1.4;6.3.2;7.1.5;7.10.2;7.2.1;7.3.6;7.4.6;7.5.6;7.6.6;7.7.6;7.8.1;7.8.2;7.8.3;7.9.2;INTRO-7;8.3.1;8.3.4;8.3.5;8.4.3;8.5.2;8.7.2;8.7.5;9.11.3;9.11.4;9.2.2;9.4.5;9.6.4,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-034,Prompt injection・Poisoning,セキュリティ,本文中で「Prompt injection・Poisoning」に関係する説明・設計契約を横断集約。,起源・提案・代表一次資料を特定,SRC-039;SRC-096;SRC-127;SRC-128,INV-014;INV-015,20,2.7.1;2.7.4;3.5.3;5.1.4;5.3.2;5.6.3;6.1.1;7.2.2;7.7.3;8.1.1;8.3.1;8.3.2;8.3.3;8.3.4;INTRO-8;9.5.5;9.8.5;9.9.5;9.9.6;11.3.5,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
TECH-035,Privacy・機密情報,セキュリティ,本文中で「Privacy・機密情報」に関係する説明・設計契約を横断集約。,単一起源なし／本ガイドの統合契約または一般標準,,INV-024,37,2.2.1;3.1.1;3.1.2;3.1.5;3.5.1;3.5.3;3.5.4;3.5.5;3.9.3;4.1.6;4.6.3;5.1.1;6.7.2;7.5.1;7.6.6;7.7.6;7.9.2;8.1.2;8.2.1;8.2.2;8.2.4;8.2.5;8.3.1;8.3.4;8.4.1;8.4.4;8.5.1;8.5.3;8.5.4;8.6.5;8.8.1;8.8.2;8.8.3;INTRO-8;9.2.4;9.5.1;9.5.5,要修正あり,名称・論文題名・リンクラベルが技術要素へ直接対応する資料を原点候補として抽出。全関連資料はunit_idsから説明状態.source_idsへ追跡。
