"original_sentence_id","file","sentence","claim_type","coverage_status","semantic_review_status","validity_judgment","support_scope","source_ids","source_urls","human_review_basis","remediation","reviewer","review_date"
"SENT-0109","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","重複排除、独自reranking、矛盾処理、Evidence Set、claim単位の検査を入れる場合は、Retrieve → Lambdaなどの検索後処理 → Converseへ分けます。","official_product_contract","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-178;SRC-194;SRC-196","https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-config.html","「RetrieveAndGenerate API Reference」、「Build a managed knowledge base」は「10.1.構成方式を選ぶ」で扱う主要な機序と評価条件という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0110","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","分離する判断は[根拠整形](../5.根拠を選別・整形する/序文.md)で必要な処理が、Knowledge Basesの検索設定だけで表現できるかによって行います。","official_product_contract","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-194;SRC-197;SRC-178","https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html;https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-setup.html;https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html","「Build a managed knowledge base」、「Set up a vector store for your knowledge base」はAmazon Bedrock Knowledge Basesの公式構成という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0112","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","Amazon S3 Vectorsは、float32の密ベクトルによるsemantic searchとmetadata filterを提供します。","official_product_contract","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-194;SRC-197;SRC-179","https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html;https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-setup.html;https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html","「Build a managed knowledge base」、「Set up a vector store for your knowledge base」はAmazon Bedrock Knowledge Basesの公式構成という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0113","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","疎検索が必要な構成では、別の検索器と結果統合を組み合わせます。","general_technical_claim","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-179;SRC-178;SRC-194","https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html;https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html","「S3 VectorsとKnowledge Basesの制約」、「RetrieveAndGenerate API Reference」は「10.1.構成方式を選ぶ」で扱う主要な機序と評価条件という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0114","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","Amazon OpenSearch Serverlessは、密検索、疎検索、ハイブリッド検索を提供します。","official_product_contract","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-196;SRC-197;SRC-179","https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-config.html;https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-setup.html;https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html","「Configure and customize queries and response generation」、「Set up a vector store for your knowledge base」はKnowledge Basesが接続するvector storeの公式要件という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0116","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","Amazon Aurora PostgreSQLは、密検索とrelational dataを近い境界で管理できます。","general_technical_claim","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-196;SRC-197;SRC-043","https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-config.html;https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-setup.html;https://arxiv.org/abs/2004.04906","「Configure and customize queries and response generation」、「Set up a vector store for your knowledge base」はKnowledge Basesが接続するvector storeの公式要件という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0117","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","Knowledge Basesのhybrid searchは、filterableなtext fieldを構成し、対象リージョンと接続方式が対応している場合に利用します。","official_product_contract","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-194;SRC-197;SRC-196","https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html;https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-setup.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-config.html","「Build a managed knowledge base」、「Set up a vector store for your knowledge base」はAmazon Bedrock Knowledge Basesの公式構成という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0118","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","MongoDB Atlasも、Knowledge Basesの対応構成ではsemantic searchとhybrid searchの候補になります。","official_product_contract","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-196;SRC-197;SRC-194","https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-config.html;https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-setup.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html","「Configure and customize queries and response generation」、「Set up a vector store for your knowledge base」はKnowledge Basesが接続するvector storeの公式要件という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0124","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","Knowledge Basesのhybrid searchについては、AWSのユーザーガイドと一部のAPI Referenceで対応storeの記述が一致しない場合があります。","official_product_contract","unsupported_reviewed","human_reviewed_unsupported","要修正（一次資料の支持不足）","支持不足・断定範囲超過","SRC-196;SRC-187","https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-config.html;https://docs.aws.amazon.com/bedrock/latest/APIReference/API_KnowledgeBaseVectorSearchConfiguration.html","現行のユーザーガイドとAPI Referenceは比較できるが、「記述が一致しない場合がある」を立証するには差分発生日の版・取得時刻・保存本文が必要で、台帳に凍結証跡がない。","不一致の具体的な文言、取得日時、URL、保存snapshot/hashを追記するか、現行仕様の記述へ置換する。","OpenAI Codex","2026-08-15 JST"
"SENT-0127","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","カスタマーマネージド型の開始構成は、S3 data source → Knowledge Bases → S3 VectorsまたはOpenSearch Serverless → Retrieve → Converseとします。","official_product_contract","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-196;SRC-197;SRC-194","https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-config.html;https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-setup.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html","「Configure and customize queries and response generation」、「Set up a vector store for your knowledge base」はKnowledge Basesが接続するvector storeの公式要件という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0128","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","Managed Knowledge Baseの開始構成は、S3またはnative connector → Managed Knowledge Base → Retrieve → Converseとします。","official_product_contract","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-194;SRC-195;SRC-178","https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-agentic-retrieve.html;https://docs.aws.amazon.com/bedrock/latest/APIReference/API_agent-runtime_RetrieveAndGenerate.html","「Build a managed knowledge base」、「Use agentic retrieval to query a knowledge base」はManaged Knowledge Baseの責任分界と検索APIという中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0130","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","S3 Vectorsはsemantic searchだけで要件を満たすかを確認する基準になります。","official_product_contract","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-179;SRC-196;SRC-200","https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-config.html;https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-getting-started.html","「S3 VectorsとKnowledge Basesの制約」、「Configure and customize queries and response generation」はS3 VectorsとKnowledge Basesの検索方式という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0131","docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md","固有名詞、製品コード、条文番号などで語彙一致の取りこぼしが再現した場合に、対応storeのHYBRID、複数検索器、またはManaged Knowledge Baseへ進みます。","general_technical_claim","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-194;SRC-195;SRC-064","https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html;https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-agentic-retrieve.html;https://dl.acm.org/doi/10.1145/1571941.1572114","「Build a managed knowledge base」、「Use agentic retrieval to query a knowledge base」はManaged Knowledge Baseの責任分界と検索APIという中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0141","docs/10.AWSで設計・実装する/10.2.Embeddingとvector indexを設定する.md","Amazon Titan Text Embeddings V2は、Knowledge Basesで1024、512、256次元を選べます。","official_product_contract","covered_direct_reviewed","human_reviewed_supported","妥当（一次資料で支持）","中核主張を直接支持","SRC-194;SRC-197;SRC-180","https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html;https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-setup.html;https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-supported.html","「Build a managed knowledge base」、「Set up a vector store for your knowledge base」がAmazon Bedrock Knowledge Basesの公式構成を現行の公式仕様として規定しており、本センテンスの中核内容と一致する。リージョン・接続方式・更新時点の条件内で妥当。","公式仕様の更新日と対象リージョン／構成をrelease時に再確認する。","OpenAI Codex","2026-08-15 JST"
"SENT-0143","docs/10.AWSで設計・実装する/10.2.Embeddingとvector indexを設定する.md","Cohere Embed Multilingual v3は1024次元を使います。","official_product_contract","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-180;SRC-181;SRC-182","https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-supported.html;https://docs.aws.amazon.com/bedrock/latest/userguide/model-parameters-titan-embed-text.html;https://docs.aws.amazon.com/bedrock/latest/userguide/model-parameters-embed-v3.html","「対応embedding model」、「Titan Text Embeddings V2のrequest」はTitan Text Embeddings V2の入出力仕様という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0150","docs/10.AWSで設計・実装する/10.2.Embeddingとvector indexを設定する.md","Titan Text Embeddings V2の1024次元、正規化済みfloat vectorを使う、S3 Vector index単体の初期例は次のとおりです。","official_product_contract","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-180;SRC-181;SRC-183","https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-supported.html;https://docs.aws.amazon.com/bedrock/latest/userguide/model-parameters-titan-embed-text.html;https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-create-index.html","「対応embedding model」、「Titan Text Embeddings V2のrequest」はTitan Text Embeddings V2の入出力仕様という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
"SENT-0155","docs/10.AWSで設計・実装する/10.2.Embeddingとvector indexを設定する.md","Knowledge Basesへ既存indexを接続するときは、embeddingのdimensionとindexのdimensionが一致することを確認します。","official_product_contract","covered_qualified_reviewed","human_reviewed_qualified","妥当（限定付き）","中核を支持・閾値／運用値は評価対象","SRC-194;SRC-197;SRC-183","https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html;https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-setup.html;https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-create-index.html","「Build a managed knowledge base」、「Set up a vector store for your knowledge base」はAmazon Bedrock Knowledge Basesの公式構成という中核を支持する。一方、本文の具体的な閾値・処理順・運用統制は資料の直接結論ではないため、対象データで検証する設計仮説として妥当。","資料の評価条件／仕様範囲を併記し、数値・順序・採否は同一データで比較して固定する。","OpenAI Codex","2026-08-15 JST"
