sentence_id,primary_verdict,independent_verdict,final_verdict,final_revised_sentence,final_reason,final_normative_criteria,final_exceptions,final_action,adjudicator,adjudication_date
SENT-0116,REWRITE_REQUIRED,REWRITE_REQUIRED,REWRITE_REQUIRED,Amazon Aurora PostgreSQLは、密検索とrelational dataを近い境界で管理できるかを、対象データと固定した比較条件で検証します。,現文は版・regionで変わり得る製品仕様を含む外部事実で、直接locatorのない状態では無条件に採用できない。NORMATIVE化や削除では元の意味が変わるため、主体、具体的対象、条件、否定を残し、研究範囲、利用時点の仕様、または対象データでの検証へ限定した完成文に確定した。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:26 の現文を「Amazon Aurora PostgreSQLは、密検索とrelational dataを近い境界で管理できるかを、対象データと固定した比較条件で検証します。」へ置換する。置換後にsentence projectionを再抽出し、主体、対象、条件、否定、列挙がfinal_revised_sentenceと一致することを確認する。,codex-wave4-adjudicator,2026-08-15
SENT-0117,APPROPRIATE_NORMATIVE,REWRITE_REQUIRED,APPROPRIATE_NORMATIVE,Knowledge Basesのhybrid searchは、利用時点の対象リージョンと接続方式の公式仕様で対応を確認し、必要なfilterable text fieldを構成できる場合に限って利用します。,現文は実装、評価、運用上の選択を明示する設計規範である。判定差は外部事実と設計判断の混同によるため、観測可能なcriteriaと例外を付けて規範側へ確定した。文中の対象、条件、否定、列挙は修正文に保持した。,文中のサービス、API、field、operator、region、versionを設定manifestへ固定し、利用時点の公式仕様で対応状況と制限を確認した構成だけを統合試験へ進める。,対象region/versionの公式仕様が非対応または変更済みの場合は適用せず、同じ要件を満たす対応機能か独自実装へ切り替えて再試験する。,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:26 の現文を「Knowledge Basesのhybrid searchは、利用時点の対象リージョンと接続方式の公式仕様で対応を確認し、必要なfilterable text fieldを構成できる場合に限って利用します。」へ置換し、同じ節または設計台帳へfinal_normative_criteriaとfinal_exceptionsを実装する。sentence projectionを再抽出し、規範ラベルと条件・否定を同期する。,codex-wave4-adjudicator,2026-08-15
SENT-0118,REWRITE_REQUIRED,REWRITE_REQUIRED,REWRITE_REQUIRED,利用時点の対象リージョンの公式仕様で前提機能と制限を確認したうえで、MongoDB Atlasも、Knowledge Basesの対応構成ではsemantic searchとhybrid searchの候補になります。,現文は版・regionで変わり得る製品仕様を含む外部事実で、直接locatorのない状態では無条件に採用できない。NORMATIVE化や削除では元の意味が変わるため、主体、具体的対象、条件、否定を残し、研究範囲、利用時点の仕様、または対象データでの検証へ限定した完成文に確定した。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:27 の現文を「利用時点の対象リージョンの公式仕様で前提機能と制限を確認したうえで、MongoDB Atlasも、Knowledge Basesの対応構成ではsemantic searchとhybrid searchの候補になります。」へ置換する。置換後にsentence projectionを再抽出し、主体、対象、条件、否定、列挙がfinal_revised_sentenceと一致することを確認する。,codex-wave4-adjudicator,2026-08-15
SENT-0123,REWRITE_REQUIRED,REWRITE_REQUIRED,REWRITE_REQUIRED,利用時点の対象リージョンの公式仕様で前提機能と制限を確認したうえで、語彙一致にはOpenSearch Serverlessを選ぶか、S3 Vectorsの密検索とOpenSearchのBM25を別々に実行し、[Hybrid retrieval](../4.質問に合う根拠を探す/4.5.Hybrid retrieval.md)のRRFまたはrerankerで統合します。,現文は版・regionで変わり得る製品仕様を含む外部事実で、直接locatorのない状態では無条件に採用できない。NORMATIVE化や削除では元の意味が変わるため、主体、具体的対象、条件、否定を残し、研究範囲、利用時点の仕様、または対象データでの検証へ限定した完成文に確定した。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:30 の現文を「利用時点の対象リージョンの公式仕様で前提機能と制限を確認したうえで、語彙一致にはOpenSearch Serverlessを選ぶか、S3 Vectorsの密検索とOpenSearchのBM25を別々に実行し、[Hybrid retrieval](../4.質問に合う根拠を探す/4.5.Hybrid retrieval.md)のRRFまたはrerankerで統合します。」へ置換する。置換後にsentence projectionを再抽出し、主体、対象、条件、否定、列挙がfinal_revised_sentenceと一致することを確認する。,codex-wave4-adjudicator,2026-08-15
SENT-0124,REWRITE_REQUIRED,REWRITE_REQUIRED,REWRITE_REQUIRED,Knowledge Basesのhybrid searchについては、AWSのユーザーガイドと一部のAPI Referenceで対応storeの記述が一致しない差異を想定し、実装時は採用するAPIの公式仕様と実行結果を一致させます。,現文は版・regionで変わり得る製品仕様を含む外部事実で、直接locatorのない状態では無条件に採用できない。NORMATIVE化や削除では元の意味が変わるため、主体、具体的対象、条件、否定を残し、研究範囲、利用時点の仕様、または対象データでの検証へ限定した完成文に確定した。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:32 の現文を「Knowledge Basesのhybrid searchについては、AWSのユーザーガイドと一部のAPI Referenceで対応storeの記述が一致しない差異を想定し、実装時は採用するAPIの公式仕様と実行結果を一致させます。」へ置換する。置換後にsentence projectionを再抽出し、主体、対象、条件、否定、列挙がfinal_revised_sentenceと一致することを確認する。,codex-wave4-adjudicator,2026-08-15
SENT-0131,APPROPRIATE_NORMATIVE,REWRITE_REQUIRED,APPROPRIATE_NORMATIVE,固有名詞、製品コード、条文番号などで語彙一致の取りこぼしが再現した場合に、対応storeのHYBRID、複数検索器、またはManaged Knowledge Baseへ進みます。,現文は実装、評価、運用上の選択を明示する設計規範である。判定差は外部事実と設計判断の混同によるため、観測可能なcriteriaと例外を付けて規範側へ確定した。文中の対象、条件、否定、列挙は修正文に保持した。,文中の工程順と分岐ごとに入力、出力、責任主体、成功条件、失敗時の遷移をmanifestへ定義し、統合試験で追跡可能性を確認する。,より単純な工程が同じ品質、安全性、遅延、費用、追跡可能性の受入条件を満たす場合は、その代替構成を採用できる。,docs/10.AWSで設計・実装する/10.1.構成方式を選ぶ.md:38 の現文を「固有名詞、製品コード、条文番号などで語彙一致の取りこぼしが再現した場合に、対応storeのHYBRID、複数検索器、またはManaged Knowledge Baseへ進みます。」へ置換し、同じ節または設計台帳へfinal_normative_criteriaとfinal_exceptionsを実装する。sentence projectionを再抽出し、規範ラベルと条件・否定を同期する。,codex-wave4-adjudicator,2026-08-15
SENT-0136,REWRITE_REQUIRED,REWRITE_REQUIRED,REWRITE_REQUIRED,利用時点の対象リージョンの公式仕様で前提機能と制限を確認したうえで、Knowledge Basesで選べるmodelとリージョンは対応embedding modelで確認します。,現文は版・regionで変わり得る製品仕様を含む外部事実で、直接locatorのない状態では無条件に採用できない。NORMATIVE化や削除では元の意味が変わるため、主体、具体的対象、条件、否定を残し、研究範囲、利用時点の仕様、または対象データでの検証へ限定した完成文に確定した。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,docs/10.AWSで設計・実装する/10.2.Embeddingとvector indexを設定する.md:7 の現文を「利用時点の対象リージョンの公式仕様で前提機能と制限を確認したうえで、Knowledge Basesで選べるmodelとリージョンは対応embedding modelで確認します。」へ置換する。置換後にsentence projectionを再抽出し、主体、対象、条件、否定、列挙がfinal_revised_sentenceと一致することを確認する。,codex-wave4-adjudicator,2026-08-15
SENT-0137,APPROPRIATE_NORMATIVE,REWRITE_REQUIRED,APPROPRIATE_NORMATIVE,日本語を含む場合は、Cohere Embed Multilingual v3を比較対象に含めます。,現文は実装、評価、運用上の選択を明示する設計規範である。判定差は外部事実と設計判断の混同によるため、観測可能なcriteriaと例外を付けて規範側へ確定した。文中の対象、条件、否定、列挙は修正文に保持した。,文中のサービス、API、field、operator、region、versionを設定manifestへ固定し、利用時点の公式仕様で対応状況と制限を確認した構成だけを統合試験へ進める。,対象region/versionの公式仕様が非対応または変更済みの場合は適用せず、同じ要件を満たす対応機能か独自実装へ切り替えて再試験する。,docs/10.AWSで設計・実装する/10.2.Embeddingとvector indexを設定する.md:7 の現文を「日本語を含む場合は、Cohere Embed Multilingual v3を比較対象に含めます。」へ置換し、同じ節または設計台帳へfinal_normative_criteriaとfinal_exceptionsを実装する。sentence projectionを再抽出し、規範ラベルと条件・否定を同期する。,codex-wave4-adjudicator,2026-08-15
SENT-0138,APPROPRIATE_NORMATIVE,REWRITE_REQUIRED,APPROPRIATE_NORMATIVE,Titan Text Embeddings V2も候補にし、日本語のgold queryでRecall@kを直接比較します。,現文は実装、評価、運用上の選択を明示する設計規範である。判定差は外部事実と設計判断の混同によるため、観測可能なcriteriaと例外を付けて規範側へ確定した。文中の対象、条件、否定、列挙は修正文に保持した。,文中のサービス、API、field、operator、region、versionを設定manifestへ固定し、利用時点の公式仕様で対応状況と制限を確認した構成だけを統合試験へ進める。,対象region/versionの公式仕様が非対応または変更済みの場合は適用せず、同じ要件を満たす対応機能か独自実装へ切り替えて再試験する。,docs/10.AWSで設計・実装する/10.2.Embeddingとvector indexを設定する.md:7 の現文を「Titan Text Embeddings V2も候補にし、日本語のgold queryでRecall@kを直接比較します。」へ置換し、同じ節または設計台帳へfinal_normative_criteriaとfinal_exceptionsを実装する。sentence projectionを再抽出し、規範ラベルと条件・否定を同期する。,codex-wave4-adjudicator,2026-08-15
SENT-0141,REWRITE_REQUIRED,REWRITE_REQUIRED,REWRITE_REQUIRED,利用時点の対象リージョンの公式仕様で、Amazon Titan Text Embeddings V2がKnowledge Basesで1024、512、256次元に対応することを確認できた場合に限り、その機能を採用します。,現文は版・regionで変わり得る製品仕様を含む外部事実で、直接locatorのない状態では無条件に採用できない。NORMATIVE化や削除では元の意味が変わるため、主体、具体的対象、条件、否定を残し、研究範囲、利用時点の仕様、または対象データでの検証へ限定した完成文に確定した。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,docs/10.AWSで設計・実装する/10.2.Embeddingとvector indexを設定する.md:11 の現文を「利用時点の対象リージョンの公式仕様で、Amazon Titan Text Embeddings V2がKnowledge Basesで1024、512、256次元に対応することを確認できた場合に限り、その機能を採用します。」へ置換する。置換後にsentence projectionを再抽出し、主体、対象、条件、否定、列挙がfinal_revised_sentenceと一致することを確認する。,codex-wave4-adjudicator,2026-08-15
SENT-0150,REWRITE_REQUIRED,REWRITE_REQUIRED,REWRITE_REQUIRED,利用時点の対象リージョンの公式仕様で前提機能と制限を確認したうえで、Titan Text Embeddings V2の1024次元、正規化済みfloat vectorを使う、S3 Vector index単体の初期例は次のとおりです。,現文は版・regionで変わり得る製品仕様を含む外部事実で、直接locatorのない状態では無条件に採用できない。NORMATIVE化や削除では元の意味が変わるため、主体、具体的対象、条件、否定を残し、研究範囲、利用時点の仕様、または対象データでの検証へ限定した完成文に確定した。,NOT_APPLICABLE_NON_NORMATIVE,NOT_APPLICABLE_NON_NORMATIVE,docs/10.AWSで設計・実装する/10.2.Embeddingとvector indexを設定する.md:23 の現文を「利用時点の対象リージョンの公式仕様で前提機能と制限を確認したうえで、Titan Text Embeddings V2の1024次元、正規化済みfloat vectorを使う、S3 Vector index単体の初期例は次のとおりです。」へ置換する。置換後にsentence projectionを再抽出し、主体、対象、条件、否定、列挙がfinal_revised_sentenceと一致することを確認する。,codex-wave4-adjudicator,2026-08-15
SENT-0152,APPROPRIATE_NORMATIVE,REWRITE_REQUIRED,APPROPRIATE_NORMATIVE,S3 Vector indexの設定に従い、正規化vectorにはcosineを初期値とし、magnitudeも意味を持つmodelではeuclideanを比較します。,現文は実装、評価、運用上の選択を明示する設計規範である。判定差は外部事実と設計判断の混同によるため、観測可能なcriteriaと例外を付けて規範側へ確定した。文中の対象、条件、否定、列挙は修正文に保持した。,文中の比較について対象dataset、gold evidence、baseline、candidate数、指標、合否閾値を固定し、平均値だけでなく失敗sliceと回帰を記録する。,文中の数値は初期候補であり、dataset、model、index、負荷、言語、業務リスクが変わる場合は再測定して閾値を更新する。,docs/10.AWSで設計・実装する/10.2.Embeddingとvector indexを設定する.md:36 の現文を「S3 Vector indexの設定に従い、正規化vectorにはcosineを初期値とし、magnitudeも意味を持つmodelではeuclideanを比較します。」へ置換し、同じ節または設計台帳へfinal_normative_criteriaとfinal_exceptionsを実装する。sentence projectionを再抽出し、規範ラベルと条件・否定を同期する。,codex-wave4-adjudicator,2026-08-15
SENT-0155,APPROPRIATE_NORMATIVE,REWRITE_REQUIRED,APPROPRIATE_NORMATIVE,Knowledge Basesへ既存indexを接続するときは、embeddingのdimensionとindexのdimensionが一致することを確認します。,現文は実装、評価、運用上の選択を明示する設計規範である。判定差は外部事実と設計判断の混同によるため、観測可能なcriteriaと例外を付けて規範側へ確定した。文中の対象、条件、否定、列挙は修正文に保持した。,文中のサービス、API、field、operator、region、versionを設定manifestへ固定し、利用時点の公式仕様で対応状況と制限を確認した構成だけを統合試験へ進める。,対象region/versionの公式仕様が非対応または変更済みの場合は適用せず、同じ要件を満たす対応機能か独自実装へ切り替えて再試験する。,docs/10.AWSで設計・実装する/10.2.Embeddingとvector indexを設定する.md:38 の現文を「Knowledge Basesへ既存indexを接続するときは、embeddingのdimensionとindexのdimensionが一致することを確認します。」へ置換し、同じ節または設計台帳へfinal_normative_criteriaとfinal_exceptionsを実装する。sentence projectionを再抽出し、規範ラベルと条件・否定を同期する。,codex-wave4-adjudicator,2026-08-15
SENT-0156,APPROPRIATE_NORMATIVE,REWRITE_REQUIRED,APPROPRIATE_NORMATIVE,OpenSearch Serverlessを接続する場合は、vector field、filterableなtext field、filter対象のmetadata field、Bedrockが管理するmetadata fieldの名前も接続設定と同じmanifestへ記録します。,現文は実装、評価、運用上の選択を明示する設計規範である。判定差は外部事実と設計判断の混同によるため、観測可能なcriteriaと例外を付けて規範側へ確定した。文中の対象、条件、否定、列挙は修正文に保持した。,文中のサービス、API、field、operator、region、versionを設定manifestへ固定し、利用時点の公式仕様で対応状況と制限を確認した構成だけを統合試験へ進める。,対象region/versionの公式仕様が非対応または変更済みの場合は適用せず、同じ要件を満たす対応機能か独自実装へ切り替えて再試験する。,docs/10.AWSで設計・実装する/10.2.Embeddingとvector indexを設定する.md:38 の現文を「OpenSearch Serverlessを接続する場合は、vector field、filterableなtext field、filter対象のmetadata field、Bedrockが管理するmetadata fieldの名前も接続設定と同じmanifestへ記録します。」へ置換し、同じ節または設計台帳へfinal_normative_criteriaとfinal_exceptionsを実装する。sentence projectionを再抽出し、規範ラベルと条件・否定を同期する。,codex-wave4-adjudicator,2026-08-15
SENT-0158,APPROPRIATE_NORMATIVE,REWRITE_REQUIRED,APPROPRIATE_NORMATIVE,標準経路は、S3 → Knowledge Bases data source sync → parser → chunking → embedding → vector storeです。,現文は実装、評価、運用上の選択を明示する設計規範である。判定差は外部事実と設計判断の混同によるため、観測可能なcriteriaと例外を付けて規範側へ確定した。文中の対象、条件、否定、列挙は修正文に保持した。,文中のサービス、API、field、operator、region、versionを設定manifestへ固定し、利用時点の公式仕様で対応状況と制限を確認した構成だけを統合試験へ進める。,対象region/versionの公式仕様が非対応または変更済みの場合は適用せず、同じ要件を満たす対応機能か独自実装へ切り替えて再試験する。,docs/10.AWSで設計・実装する/10.3.取り込み経路を構成する.md:5 の現文を「標準経路は、S3 → Knowledge Bases data source sync → parser → chunking → embedding → vector storeです。」へ置換し、同じ節または設計台帳へfinal_normative_criteriaとfinal_exceptionsを実装する。sentence projectionを再抽出し、規範ラベルと条件・否定を同期する。,codex-wave4-adjudicator,2026-08-15
SENT-0160,APPROPRIATE_NORMATIVE,REWRITE_REQUIRED,APPROPRIATE_NORMATIVE,表、図、複雑なlayoutを検索対象にする場合は、高度な文書解析のBedrock Data Automationまたはfoundation model parserを比較します。,現文は実装、評価、運用上の選択を明示する設計規範である。判定差は外部事実と設計判断の混同によるため、観測可能なcriteriaと例外を付けて規範側へ確定した。文中の対象、条件、否定、列挙は修正文に保持した。,文中のサービス、API、field、operator、region、versionを設定manifestへ固定し、利用時点の公式仕様で対応状況と制限を確認した構成だけを統合試験へ進める。,対象region/versionの公式仕様が非対応または変更済みの場合は適用せず、同じ要件を満たす対応機能か独自実装へ切り替えて再試験する。,docs/10.AWSで設計・実装する/10.3.取り込み経路を構成する.md:5 の現文を「表、図、複雑なlayoutを検索対象にする場合は、高度な文書解析のBedrock Data Automationまたはfoundation model parserを比較します。」へ置換し、同じ節または設計台帳へfinal_normative_criteriaとfinal_exceptionsを実装する。sentence projectionを再抽出し、規範ラベルと条件・否定を同期する。,codex-wave4-adjudicator,2026-08-15
SENT-0163,APPROPRIATE_NORMATIVE,REWRITE_REQUIRED,APPROPRIATE_NORMATIVE,標準処理で出典位置や業務上の検索単位を保てない場合は、custom transformation Lambdaでchunkとmetadataを返します。,現文は実装、評価、運用上の選択を明示する設計規範である。判定差は外部事実と設計判断の混同によるため、観測可能なcriteriaと例外を付けて規範側へ確定した。文中の対象、条件、否定、列挙は修正文に保持した。,「標準処理で出典位置や業務上の検索単位を保てない場合は、custom transformation Lambdaでchunkとmetadataを返…」を適用する対象、前提条件、観測指標、合否閾値、責任者を同じ節または設計記録に明示する。,法令、契約、利用時点の公式仕様、または対象データでの再現試験が異なる条件を要求する場合は、その差分と承認理由を記録して適用範囲を更新する。,docs/10.AWSで設計・実装する/10.3.取り込み経路を構成する.md:7 の現文を「標準処理で出典位置や業務上の検索単位を保てない場合は、custom transformation Lambdaでchunkとmetadataを返します。」へ置換し、同じ節または設計台帳へfinal_normative_criteriaとfinal_exceptionsを実装する。sentence projectionを再抽出し、規範ラベルと条件・否定を同期する。,codex-wave4-adjudicator,2026-08-15
