sentence_id,original_sentence,primary_verdict,independent_verdict,reconciliation_decision,reconciliation_reason,final_verdict,final_revised_sentence,final_source_ids,final_source_locator,final_source_claim_role,final_external_truth_level,verified_on,reconciled_by
SENT-1753,ACORNは、属性条件を考慮したANN探索を扱いました。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,APPROVE_PRIMARY,ACORN Abstractと§3.1/§5が、structured predicateを伴うvector/ANN hybrid searchとpredicate-subgraph traversalを直接記述する。,APPROPRIATE_SUPPORTED,,SRC-049,"https://arxiv.org/abs/2403.04871, Abstract",AUTHOR_CLAIM,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-1975,monoT5は、質問と文書を系列変換モデルへ入力し、「関連」「非関連」に対応する処理単位（トークン）のスコアを順位付けへ利用します。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,APPROVE_PRIMARY,monoT5 Abstractがquery-documentをseq2seqモデルへ入力し、True/Falseトークンのlogitから関連度確率を得て順位付けする方式を直接説明する。,APPROPRIATE_SUPPORTED,,SRC-086,"https://aclanthology.org/2020.findings-emnlp.63/, Abstract, lines 58–61",AUTHOR_CLAIM,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-2151,Lost in the Middleは、評価したモデルと課題で、重要情報が入力の中央にあると先頭や末尾より利用されにくい傾向を報告しました。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,APPROVE_PRIMARY,Lost in the Middle Abstractが、関連情報の位置で性能が変わり、中央では先頭・末尾より大きく低下すると評価対象内で報告する。,APPROPRIATE_SUPPORTED,,SRC-035,"https://aclanthology.org/2024.tacl-1.9/, Abstract, lines 58–61",EMPIRICAL_RESULT,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-2170,間接プロンプトインジェクションの研究は、ウェブや文書中の指示がLLM統合アプリを操作する危険を示しました。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,APPROVE_PRIMARY,Indirect Prompt Injection原著Abstractが、取得され得る外部データへ命令を埋め込みLLM統合アプリを操作する攻撃とリスクを直接記述する。,APPROPRIATE_SUPPORTED,,NEW-SRC-GRESHAKE-2023,"https://arxiv.org/abs/2302.12173, Abstract（external/retrieved dataに埋め込まれたpromptによる操作・リスク）",AUTHOR_CLAIM,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-2923,Lost in the Middleは、長い入力の中央にある情報を言語モデルが利用しにくい場合を示しています。,APPROPRIATE_SUPPORTED,APPROPRIATE_SUPPORTED,APPROVE_PRIMARY,Lost in the Middle Abstractが、長文中央の関連情報を利用する場合に性能が有意に低下することを直接報告する。,APPROPRIATE_SUPPORTED,,SRC-035,"https://aclanthology.org/2024.tacl-1.9/, Abstract, lines 58–61",EMPIRICAL_RESULT,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-3317,取得文書やツール結果に命令を埋める攻撃は、間接プロンプトインジェクションです。,APPROPRIATE_SUPPORTED,APPROPRIATE_NORMATIVE,MODIFIED,主張自体は原著Abstractに直接支持されるが、文は研究者の経験的結論ではなく攻撃類型の記述なので、source roleをAUTHOR_CLAIMからDEFINITION_OR_SPECへ修正する。,APPROPRIATE_SUPPORTED,,NEW-SRC-GRESHAKE-2023,"https://arxiv.org/abs/2302.12173, Abstract, lines 16–19 (prompts injected into external/retrieved data; indirect prompt injection)",DEFINITION_OR_SPEC,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-3644,RAGのサーベイは、RAGを基本的な構成、高度な構成、部品を組み替える構成へ整理しています。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,APPROVE_PRIMARY,RAG survey AbstractがRAG paradigmsをNaive RAG、Advanced RAG、Modular RAGへ整理すると明記する。,APPROPRIATE_SUPPORTED,,SRC-139,"https://arxiv.org/abs/2312.10997, Abstract",AUTHOR_CLAIM,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-3783,QReCCは、会話中の質問を単独で読める形へ書き換えるデータを含む会話型質問応答データセットです。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,MODIFIED,AbstractはQReCCのquestion rewriting annotationsを支持するが、『単独で読める形』は本文Introductionのself-contained questionsの記述が直接locatorであるため、locatorを本文へ補強する。,APPROPRIATE_SUPPORTED,,SRC-144,"https://arxiv.org/pdf/2010.04898, Introduction, PDF pp. 1–2, lines 63–75 (self-contained versions of contextually dependent questions; each pair annotated with a rewrite)",DEFINITION_OR_SPEC,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-3904,DIN-SQLは、複雑な質問を部分問題へ分け、スキーマ対応と自己修正を組み合わせます。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,MODIFIED,Abstractは分解のみを直接支持し、schema linkingとself-correctionは本文の方式構成にある。主張は維持し、直接locatorを§4と§4.4へ差し替える。,APPROPRIATE_SUPPORTED,,SRC-151,"https://arxiv.org/html/2304.11015, §4 Methodology, lines 102–109 (four modules: schema linking, classification/decomposition, SQL generation, self-correction); §4.4, lines 137–140",AUTHOR_CLAIM,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-3947,RAGと長文入力を比較した研究は、十分な資源がある条件では長文入力が高品質な場合がある一方、RAGが大幅に安価な場合を報告しています。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,APPROVE_PRIMARY,比較研究Abstractが、十分な資源下でLCが平均性能でRAGを上回る一方、RAGは大幅に低コストと報告しており、原文の条件付き比較を支持する。,APPROPRIATE_SUPPORTED,,SRC-059,"https://arxiv.org/abs/2407.16833, Abstract",EMPIRICAL_RESULT,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-3969,Lost in the Middleは、先頭や末尾と比べて中央の情報を利用しにくい傾向を報告しています。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,APPROVE_PRIMARY,Lost in the Middle Abstractが先頭・末尾で高く中央で低下する位置効果を直接報告する。,APPROPRIATE_SUPPORTED,,SRC-035,"https://aclanthology.org/2024.tacl-1.9/, Abstract, lines 58–61",EMPIRICAL_RESULT,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-3971,LongBenchも、単一文書、複数文書、要約、コードなど21のデータセットを使い、公称の入力上限と長い文脈を実際に使える能力が同じではないことを示しています。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,MODIFIED,LongBench Abstractは21 datasets/6 task categoriesとGPT-3.5-Turbo-16kが長い文脈で苦戦する結果を示すが、『公称上限と実効能力は同じではない』という一般命題までは直接述べない。評価対象と観測結果へ限定する。,APPROPRIATE_AFTER_QUALIFICATION,LongBenchは、単一文書・複数文書・要約・コードなど21のデータセットで長文理解を評価し、GPT-3.5-Turbo-16kも長い文脈では苦戦する結果を報告しました。,SRC-153,"https://aclanthology.org/2024.acl-long.172/, Abstract, lines 59–62",EMPIRICAL_RESULT,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
SENT-4205,間接プロンプトインジェクションの研究は、外部データの命令が情報窃取やツール誤用へつながる経路を示しています。,APPROPRIATE_SUPPORTED,REWRITE_REQUIRED,APPROVE_PRIMARY,Indirect Prompt Injection原著Abstractが、取得外部データ中の命令からdata theftおよびAPI call manipulationへ至る経路を直接記述する。,APPROPRIATE_SUPPORTED,,NEW-SRC-GRESHAKE-2023,"https://arxiv.org/abs/2302.12173, Abstract（external/retrieved dataに埋め込まれたpromptによる操作・リスク）",AUTHOR_CLAIM,SOURCE_ASSERTED,2026-08-15,codex-independent-wave4
