fixture_id,sentence_id,source_state,original_sentence,primary_verdict,independent_verdict,agreement_status,agreed_verdict,disagreement_reason,agreed_revised_sentence,agreed_source_locator,agreed_source_claim_role,agreed_external_truth_level,primary_reviewer,primary_review_date,independent_reviewer,independent_review_date
GOLD-11,SENT-1689,INCONCLUSIVE_UNFORMALIZED_SENTENCE,最小・最大、標準得点、順位への変換などの正規化があります。,REWRITE_REQUIRED,REWRITE_REQUIRED,AGREED_VERDICT_MODIFIED_TEXT,REWRITE_REQUIRED,両案はREWRITE_REQUIREDで一致。外部一般知識として断定せず、本節で扱う正規化の操作的分類へ書き換える。,本節では、検索スコアの正規化として、最小–最大変換、標準得点化、順位変換を扱います。,NOT_APPLICABLE_LOCAL_NORM,DEFINITION_OR_SPEC,NOT_APPLICABLE,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-12,SENT-2923,INCONCLUSIVE_UNFORMALIZED_SENTENCE,Lost in the Middleは、長い入力の中央にある情報を言語モデルが利用しにくい場合を示しています。,APPROPRIATE_SUPPORTED,APPROPRIATE_SUPPORTED,AGREED,APPROPRIATE_SUPPORTED,両案がSUPPORTEDで一致し、Lost in the Middle Abstractの位置効果を再確認した。,,"https://aclanthology.org/2024.tacl-1.9/, Abstract, lines 58–61",EMPIRICAL_RESULT,SOURCE_ASSERTED,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-13,SENT-1330,INCONCLUSIVE_UNFORMALIZED_SENTENCE,利用者が明示した条件と、モデルが推定した条件を分けます。,APPROPRIATE_NORMATIVE,APPROPRIATE_NORMATIVE,AGREED,APPROPRIATE_NORMATIVE,両案とも、利用者明示条件とモデル推定条件を区別する本ガイドの運用規則として妥当と判断した。推定値にはprovenanceを付け、利用者が上書きした場合を例外として記録する。,,NOT_APPLICABLE_LOCAL_NORM,HYPOTHESIS,NOT_APPLICABLE,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-14,SENT-0817,INCONCLUSIVE_UNFORMALIZED_SENTENCE,左列で文書形式を選び、中央の要素が同じチャンクまたは親子関係に残っているかを確認し、右列の失敗を試験します。,APPROPRIATE_NORMATIVE,APPROPRIATE_NORMATIVE,AGREED,APPROPRIATE_NORMATIVE,両案とも、文書形式・チャンク保持関係・失敗試験を対応づけるローカル試験手順として妥当と判断した。,,NOT_APPLICABLE_LOCAL_NORM,HYPOTHESIS,NOT_APPLICABLE,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-15,SENT-1212,INCONCLUSIVE_UNFORMALIZED_SENTENCE,候補を統合する必要がある場合は、対応する検索器と統合規則を版管理します。,APPROPRIATE_NORMATIVE,APPROPRIATE_NORMATIVE,AGREED,APPROPRIATE_NORMATIVE,両案とも、候補統合を採用したときに検索器と統合規則を同一versionで追跡するローカル構成管理規則として妥当と判断した。,,NOT_APPLICABLE_LOCAL_NORM,HYPOTHESIS,NOT_APPLICABLE,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-16,SENT-2792,INCONCLUSIVE_UNFORMALIZED_SENTENCE,モデルや入力形式を変えた場合は、古いベクトルと混在させず全対象を再計算します。,APPROPRIATE_NORMATIVE,APPROPRIATE_NORMATIVE,AGREED,APPROPRIATE_NORMATIVE,両案とも、embedding modelまたは入力形式変更時の再埋め込み方針として妥当と判断した。互換性を実証したmigrationのみ例外とする。,,NOT_APPLICABLE_LOCAL_NORM,HYPOTHESIS,NOT_APPLICABLE,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-17,SENT-0123,INCONCLUSIVE_UNSUPPORTED_ATOMS,語彙一致にはOpenSearch Serverlessを選ぶか、S3 Vectorsの密検索とOpenSearchのBM25を別々に実行し、[Hybrid retrieval](../4.質問に合う根拠を探す/4.5.Hybrid retrieval.md)のRRFまたはrerankerで統合します。,REWRITE_REQUIRED,REWRITE_REQUIRED,AGREED_VERDICT_MODIFIED_TEXT,REWRITE_REQUIRED,両案はREWRITE_REQUIREDで一致。AWS公式に確認できるBedrock KB + S3 Vectorsのhybrid非対応と、本ガイド独自の別系統検索・統合案を分離して記述する。,Bedrock Knowledge BasesでS3 Vectorsを使う構成はhybrid searchに対応しないため、語彙一致が必要ならOpenSearch Serverlessを選ぶか、別系統で得たBM25結果とS3 Vectors結果を本ガイドのRRFまたはrerankerで統合します。,"https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html, Limitations > Semantic search only; custom two-retriever fusion is a local design rule",DEFINITION_OR_SPEC,OFFICIAL_SPEC,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-18,SENT-0688,INCONCLUSIVE_UNSUPPORTED_ATOMS,LayoutLMv3は、テキストと画像領域を統合して事前学習し、複数の文書理解タスクで評価されました。,REWRITE_REQUIRED,REWRITE_REQUIRED,BOTH_PROPOSALS_OVERRIDDEN_BY_SOURCE_VERIFICATION,APPROPRIATE_SUPPORTED,両案は直接locator未確認としてREWRITE_REQUIREDだったが、LayoutLMv3 Abstractがunified text/image maskingと複数のtext-centric/image-centric document tasksでの評価を直接記述する。,,"https://arxiv.org/abs/2204.08387, Abstract, lines 16–18",AUTHOR_CLAIM,SOURCE_ASSERTED,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-19,SENT-4150,INCONCLUSIVE_UNSUPPORTED_ATOMS,顔、個人情報、画面上の認証情報、画像内のプロンプトインジェクションを安全試験へ含めます。,APPROPRIATE_NORMATIVE,APPROPRIATE_NORMATIVE,AGREED,APPROPRIATE_NORMATIVE,両案とも安全試験のローカル要求として妥当と判断した。対象画像に該当要素が存在しない場合を除き、各カテゴリの検出・マスキング・命令無視を試験する。,,NOT_APPLICABLE_LOCAL_NORM,HYPOTHESIS,NOT_APPLICABLE,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-20,SENT-2756,INCONCLUSIVE_UNSUPPORTED_ATOMS,一部の文書だけ失敗した状態を全体成功として隠さず、文書ID、失敗工程、再処理の可否を報告します。,APPROPRIATE_NORMATIVE,REWRITE_REQUIRED,DISAGREED_RECONCILED_TO_PRIMARY,APPROPRIATE_NORMATIVE,独立案は経験的主張と誤分類したが、文はbatch処理の部分失敗を成功として隠さない報告要件である。文書ID・失敗工程・再処理可否を受入基準とする主案を採用。,,NOT_APPLICABLE_LOCAL_NORM,HYPOTHESIS,NOT_APPLICABLE,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-21,SENT-2537,INCONCLUSIVE_UNSUPPORTED_ATOMS,Toolformerは、言語モデルがAPI呼び出しを学習する方法を扱い、ReActは推論と行動を交互に進めました。,REWRITE_REQUIRED,REWRITE_REQUIRED,BOTH_PROPOSALS_OVERRIDDEN_BY_SOURCE_VERIFICATION,APPROPRIATE_SUPPORTED,両案は直接locator未確認としてREWRITE_REQUIREDだったが、ToolformerとReActの各AbstractがAPI利用学習とreasoning/actionのinterleavingをそれぞれ直接記述する。,,"https://arxiv.org/abs/2302.04761, Abstract, lines 16–18; https://arxiv.org/abs/2210.03629, Abstract, lines 16–20",AUTHOR_CLAIM,SOURCE_ASSERTED,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-22,SENT-1419,INCONCLUSIVE_UNSUPPORTED_ATOMS,疎検索では擬似文書中の語を検索語へ利用でき、密検索では文書に近い長さ・表現の埋め込みを作れます。,REWRITE_REQUIRED,REWRITE_REQUIRED,AGREED_VERDICT_MODIFIED_TEXT,REWRITE_REQUIRED,両案はREWRITE_REQUIREDで一致。Query2docは擬似文書を質問へ追加し疎・密検索を改善することは支持するが、密検索で『文書に近い長さ・表現の埋め込み』になるという機序はAbstractから直接支持されない。,Query2docは、LLMが生成した擬似文書を質問へ追加し、疎検索と密検索の双方を改善する方法です。,"https://arxiv.org/abs/2303.07678, Abstract, lines 16–17",AUTHOR_CLAIM,SOURCE_ASSERTED,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-23,SENT-0432,INCONCLUSIVE_UNSUPPORTED_ATOMS,Prompt injection（プロンプトインジェクション）は、検索された文書内の命令を生成モデルが実行すべき指示として解釈する問題です。,APPROPRIATE_SUPPORTED,APPROPRIATE_NORMATIVE,DISAGREED_RECONCILED_MODIFIED,APPROPRIATE_AFTER_QUALIFICATION,主案の一次資料は直接確認できたが、資料が定義するのは広義のprompt injectionではなくindirect prompt injectionである。独立案のローカル定義化ではなく、攻撃種別を限定した外部支持文へ調停。,間接プロンプトインジェクションは、検索された文書などの外部データに埋め込まれた命令を、LLM統合アプリが指示として処理してしまう攻撃です。,"https://arxiv.org/abs/2302.12173, Abstract, lines 16–19 (prompts injected into data likely to be retrieved; manipulation of LLM-integrated applications)",DEFINITION_OR_SPEC,SOURCE_ASSERTED,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
GOLD-24,SENT-1908,INCONCLUSIVE_UNSUPPORTED_ATOMS,埋め込みベクトルのコサイン類似度を単独で重複判定へ使うと、同じ意味を独立に説明した別文書まで重複と判断する可能性があります。,REWRITE_REQUIRED,REWRITE_REQUIRED,AGREED_VERDICT_MODIFIED_TEXT,REWRITE_REQUIRED,両案はREWRITE_REQUIREDで一致。可能性主張を未検証のまま残さず、意味的類似だけで自動重複削除しない具体的な運用規則へ変える。,コサイン類似度だけで自動的に重複削除せず、出典IDと文面一致も併用し、閾値近傍の候補は確認対象にします。,NOT_APPLICABLE_LOCAL_NORM,HYPOTHESIS,NOT_APPLICABLE,codex-primary-wave4,2026-08-15,codex-independent-wave4,2026-08-15
