source_claim_id,technology_id,technology,source_ids,source_urls,source_trust_tiers,source_claim_ja,formal_atoms,claim_kind,formalization_validation,truth_status,notes
SCLAIM-011,CTECH-011,E5,SRC-073,https://arxiv.org/abs/2212.03533,B,弱教師あり対照学習により汎用テキスト埋め込みを作る。,dense=true; prefix_contract=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-012,CTECH-012,Contriever,SRC-074,https://arxiv.org/abs/2112.09118,B,人手関連度ラベルを用いない対照学習型検索器。,dense=true; unsupervised_contrastive=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-013,CTECH-013,HNSW,SRC-047,https://arxiv.org/abs/1603.09320,B,階層化した近傍グラフを探索する近似最近傍法。,ann=true; graph_index=true; hierarchical=true; recall_latency_tradeoff=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-014,CTECH-014,Product Quantization,SRC-051,https://doi.org/10.1109/TPAMI.2010.57,A,ベクトルを部分空間へ分け、短い量子化コードで表す。,ann_support=true; compression=true; compressed_vectors=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-015,CTECH-015,DiskANN,SRC-053,https://www.microsoft.com/en-us/research/publication/diskann-fast-accurate-billion-point-nearest-neighbor-search-on-a-single-node/,B,SSDとメモリを組み合わせる大規模近似最近傍探索。,ann=true; disk_backed=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-016,CTECH-016,Faiss GPU k-selection,SRC-052,https://arxiv.org/abs/1702.08734,B,GPU上の積量子化とk-selectionを用いる大規模類似検索。,ann=true; gpu_accelerated=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-017,CTECH-017,FreshDiskANN,SRC-054,https://arxiv.org/abs/2105.09613,B,追加・削除を継続的に処理するDiskANN系索引。,ann=true; incremental_updates=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-018,CTECH-018,SPFresh,SRC-055,https://arxiv.org/abs/2410.14452,B,大規模ベクトル索引の継続更新を扱う。,ann=true; incremental_updates=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-019,CTECH-019,ColBERT,SRC-045,https://arxiv.org/abs/2004.12832,B,質問トークンと文書トークンのMaxSimを集約する遅延相互作用検索。,dense=true; multi_vector=true; late_interaction=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-020,CTECH-020,ColBERTv2,SRC-075,https://arxiv.org/abs/2112.01488,B,残差圧縮等でColBERTの索引量を抑える。,dense=true; multi_vector=true; compression=true; compressed_index=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-021,CTECH-021,M3-Embedding,SRC-076,https://arxiv.org/abs/2402.03216,B,単一モデルで密・疎・複数ベクトル検索を扱う。,dense=true; sparse=true; multi_vector=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-022,CTECH-022,RRF,SRC-064,https://dl.acm.org/doi/10.1145/1571941.1572114,A,各順位表の順位に基づき1/(k+rank)を加算する。,ranks_only=true; k_positive=true; candidate_ids_stable=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-023,CTECH-023,Weighted score fusion,SRC-078,https://arxiv.org/abs/2210.11934,B,異なる検索器のスコアを正規化して重み付き統合する。,normalization_required=true; weights_evaluated=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-024,CTECH-024,Query2doc,SRC-063,https://arxiv.org/abs/2303.07678,B,質問から擬似文書を生成し検索表現へ利用する。,generated_query_representation=true; original_query_retained=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-025,CTECH-025,HyDE,SRC-065,https://arxiv.org/abs/2212.10496,B,仮想文書を生成し、その埋め込みで実文書を検索する。,generated_query_representation=true; dense=true; hard_constraints_preserved=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-026,CTECH-026,Rewrite-Retrieve-Read,SRC-061,https://arxiv.org/abs/2305.14283,B,LLM向け質問を検索器向けに書き換えてから取得する。,query_rewrite=true; original_query_trace=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-027,CTECH-027,IRCoT,SRC-060,https://arxiv.org/abs/2212.10509,B,複数段階質問で検索と推論を交互に進める。,iterative=true; multi_hop=true; bounded_steps=true; evidence_trace=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-028,CTECH-028,ACORN,SRC-049,https://arxiv.org/abs/2403.04871,B,構造化条件を近傍探索へ組み込むフィルター付きANN。,ann=true; filter_aware=true; acl_before_exposure=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-029,CTECH-029,NaviX,SRC-050,https://arxiv.org/abs/2506.23397,B,フィルター選択率と空間分布に応じ探索戦略を切り替える。,ann=true; filter_first=true; adaptive_strategy=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-030,CTECH-030,MMR,SRC-082,https://dl.acm.org/doi/10.1145/290941.291025,A,関連性と既選択候補に対する新規性を組み合わせる。,rerank=true; diversity=true; output_subset=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-031,CTECH-031,SimHash,SRC-081,https://dl.acm.org/doi/10.1145/1242572.1242592,A,近似重複検出用のビット指紋とHamming距離を用いる。,dedup=true; approximate_fingerprint=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-032,CTECH-032,BERT passage reranking,SRC-084,https://arxiv.org/abs/1901.04085,B,質問と候補を同時に符号化して関連度を再評価する。,rerank=true; reads_candidate_text=true; candidate_generation=false; output_subset=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-033,CTECH-033,monoT5,SRC-086,https://arxiv.org/abs/2003.06713,B,関連・非関連トークンのスコアを順位付けへ使う。,reads_candidate_text=true; pointwise=true; output_subset=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-034,CTECH-034,RankT5,SRC-087,https://arxiv.org/abs/2210.10634,B,順位を意識した学習目標を用いるT5再順位付け器。,reads_candidate_text=true; ranking_loss=true; output_subset=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-035,CTECH-035,LLM listwise reranking,SRC-085;SRC-088,https://arxiv.org/abs/2305.02156;https://arxiv.org/abs/2304.09542,B,候補一覧を入力し候補IDの順序を生成する。,reads_candidate_text=true; listwise=true; ids_closed_world=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-036,CTECH-036,RECOMP,SRC-089,https://arxiv.org/abs/2310.04408,B,抽出型・要約型の検索文書圧縮と文書選択を行う。,compression=true; provenance_mapping_required=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-037,CTECH-037,LLMLingua,SRC-091,https://arxiv.org/abs/2310.05736,B,小規模言語モデルでトークン重要度を推定して圧縮する。,compression=true; protected_tokens_required=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-038,CTECH-038,LongLLMLingua,SRC-092,https://arxiv.org/abs/2310.06839,B,質問を考慮した圧縮と文書再配置を行う。,compression=true; question_aware=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-039,CTECH-039,Selective Context,SRC-093,https://arxiv.org/abs/2310.06201,B,予測しやすい語句を削る質問非依存の圧縮。,compression=true; question_independent=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-040,CTECH-040,TextTiling,SRC-032,https://aclanthology.org/J97-1003/,A,語彙結束性から複数段落文書を副話題へ分割する。,segmentation=true; lexical_cohesion=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-041,CTECH-041,Late Chunking,SRC-034,https://arxiv.org/abs/2409.04701,B,長文を先に符号化し後からチャンク表現へ集約する。,chunking=true; encode_before_pool=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-042,CTECH-042,RAPTOR,SRC-154;SRC-033,https://proceedings.iclr.cc/paper_files/paper/2024/hash/8a2acd174940dbca361a6398a4f9df91-Abstract-Conference.html;https://arxiv.org/abs/2401.18059,A;B,文書断片を再帰的にクラスタリング・要約して木から検索する。,hierarchical=true; generated_summaries=true; provenance_required=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-043,CTECH-043,TreeRAG,SRC-155,https://aclanthology.org/2025.findings-acl.20/,A,長文を木構造へ分割し双方向に探索する。,hierarchical=true; tree_search=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-044,CTECH-044,ZoomRAG,SRC-156,https://aclanthology.org/2026.findings-acl.1643/,A,複数粒度の関係グラフを粗い層から細かい層へ探索する。,hierarchical=true; coarse_to_fine=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-045,CTECH-045,G-Retriever,SRC-158,https://proceedings.neurips.cc/paper_files/paper/2024/file/efaf1c9726648c8ba363a5c927440529-Paper-Conference.pdf,A,質問に関係する部分グラフを検索して生成へ渡す。,graph=true; subgraph_retrieval=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-046,CTECH-046,HippoRAG,SRC-159,https://proceedings.neurips.cc/paper_files/paper/2024/hash/6ddc001d07ca4f319af96a3024f6dbd1-Abstract-Conference.html,A,知識グラフ上の関連探索を長期記憶になぞらえて行う。,graph=true; multi_hop=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
SCLAIM-047,CTECH-047,ColPali,SRC-161,https://proceedings.iclr.cc/paper_files/paper/2025/file/99e9e141aafc314f76b0ca3dd66898b3-Paper-Conference.pdf,A,文書ページ画像を複数ベクトルとして検索する。,multimodal=true; multi_vector=true,source_defined_technique_mechanism,curated_translation_requires_independent_domain_review,definition_in_primary_source_not_independent_empirical_truth,Lean can prove consequences of these atoms; it cannot prove that this translation exhausts the source text.
