source_id,label_in_guide,url,source_type,role,title_resolved,authors_or_owner,year,resolution_status,http_status,used_by_units,first_file,notes
SRC-011,Data Statements,https://aclanthology.org/Q18-1041/,査読付き論文／会議録,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science,Emily M. Bender; Batya Friedman,2018,resolved,200,3.1.2;8.8.2,docs/3.回答に使う資料を準備する/3.1.データソース棚卸し.md,
SRC-012,時間を考慮したRAGの研究,https://arxiv.org/abs/2401.13222,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,It's About Time: Incorporating Temporality in Retrieval Augmented Language Models,"Gade, Anoushka; Jetcheva, Jorjeta",2024,resolved,200,3.1.3,docs/3.回答に使う資料を準備する/3.1.データソース棚卸し.md,
SRC-013,FreshLLMs,https://arxiv.org/abs/2310.03214,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,"Vu, Tu; Iyyer, Mohit; Wang, Xuezhi; Constant, Noah; Wei, Jerry; Wei, Jason; Tar, Chris; Sung, Yun-Hsuan; Zhou, Denny; Le, Quoc; Luong, Thang",2023,resolved,200,3.1.3;3.5.2;6.5.2;7.5.5;8.7.3,docs/3.回答に使う資料を準備する/3.1.データソース棚卸し.md,
SRC-014,文書の類似性と包含関係の研究 / Broderの研究,https://ieeexplore.ieee.org/document/666900,査読付き論文／会議録,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,On the resemblance and containment of documents,Andrei Z. Broder,1997,resolved,202,3.1.3;5.2.1,docs/3.回答に使う資料を準備する/3.1.データソース棚卸し.md,metadata_override=publisher_or_official_source
SRC-015,MRKL Systems,https://arxiv.org/abs/2205.00445,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning","Karpas, Ehud; Abend, Omri; Belinkov, Yonatan; Lenz, Barak; Lieber, Opher; Ratner, Nir; Shoham, Yoav; Bata, Hofit; Levine, Yoav; Leyton-Brown, Kevin; Muhlgay, Dor; Rozen, Noam; Schwartz, Erez; Shachaf, Gal; Shalev-Shwartz, Shai; Shashua, Amnon; Tenenholtz, Moshe",2022,resolved,200,3.1.4;9.4.1,docs/3.回答に使う資料を準備する/3.1.データソース棚卸し.md,
SRC-016,内部アルゴリズム監査の枠組み,https://arxiv.org/abs/2001.00973,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algorithmic Auditing,"Raji, Inioluwa Deborah; Smart, Andrew; White, Rebecca N.; Mitchell, Margaret; Gebru, Timnit; Hutchinson, Ben; Smith-Loud, Jamila; Theron, Daniel; Barnes, Parker",2020,resolved,200,3.1.5;8.4.5;8.8.1,docs/3.回答に使う資料を準備する/3.1.データソース棚卸し.md,
SRC-017,ML Test Score,https://research.google/pubs/the-ml-test-score-a-rubric-for-ml-production-readiness-and-technical-debt-reduction/,研究機関公開資料,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,The ML Test Score: A Rubric for ML Production Readiness and Technical Debt Reduction,Eric Breck; Shanqing Cai; Eric Nielsen; Michael Salib; D. Sculley,2017,resolved,200,3.1.6;7.1.5,docs/3.回答に使う資料を準備する/3.1.データソース棚卸し.md,
SRC-018,FlumeJava,https://research.google/pubs/flumejava-easy-efficient-data-parallel-pipelines/,研究機関公開資料,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,"FlumeJava: Easy, Efficient Data-Parallel Pipelines",Craig Chambers; Ashish Raniwala; Frances Perry; Stephen Adams; Robert Henry; Robert Bradshaw; Nathan,2010,resolved,200,3.2.1,docs/3.回答に使う資料を準備する/3.2.Ingestion設計.md,
SRC-019,Data Validation for Machine Learning,https://research.google/pubs/data-validation-for-machine-learning/,研究機関公開資料,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Data Validation for Machine Learning,Eric Breck; Marty Zinkevich; Neoklis Polyzotis; Steven Whang; Sudip Roy,2019,resolved,200,3.2.1;7.1.2,docs/3.回答に使う資料を準備する/3.2.Ingestion設計.md,
SRC-020,Dataflow Model,https://doi.org/10.14778/2824032.2824076,DOI解決先,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,The dataflow model,Tyler Akidau; Robert Bradshaw; Craig Chambers; Slava Chernyak; Rafael J. Fernández-Moctezuma; Reuven Lax; Sam McVeety; Daniel Mills; Frances Perry; Eric Schmidt; Sam Whittle,2015,resolved,200,3.2.2;8.7.2,docs/3.回答に使う資料を準備する/3.2.Ingestion設計.md,metadata_resolved_via=Crossref; doi=10.14778/2824032.2824076
SRC-021,Delta Lake,https://www.vldb.org/pvldb/vol13/p3411-armbrust.pdf,査読付き論文／会議録,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Delta Lake: High-Performance ACID Table Storage over Cloud Object Stores,Michael Armbrust et al.,2020,resolved,200,3.2.2;7.3.1;8.7.1,docs/3.回答に使う資料を準備する/3.2.Ingestion設計.md,metadata_override=publisher_or_official_source
SRC-022,MillWheel,https://www.vldb.org/pvldb/vol6/p1033-akidau.pdf,査読付き論文／会議録,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,MillWheel: Fault-Tolerant Stream Processing at Internet Scale,Tyler Akidau; Alex Balikov; Kaya Bekiroglu; Slava Chernyak; Josh Haberman; Reuven Lax; Sam McVeety; Daniel Mills; Paul Nordstrom; Sam Whittle,2013,resolved,200,3.2.3;7.3.2;8.7.2,docs/3.回答に使う資料を準備する/3.2.Ingestion設計.md,metadata_override=publisher_or_official_source
SRC-023,Hidden Technical Debt in Machine Learning Systems / Hidden Technical Debt,https://papers.nips.cc/paper/5656-hidden-technical-debt-in-machine-learning-systems,査読付き論文／会議録,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Hidden Technical Debt in Machine Learning Systems,"Sculley, D.; Holt, Gary; Golovin, Daniel; Davydov, Eugene; Phillips, Todd; Ebner, Dietmar; Chaudhary, Vinay; Young, Michael; Crespo, Jean-François; Dennison, Dan",2015,resolved,200,3.2.7;3.7.4;8.7.1;11.3.5,docs/3.回答に使う資料を準備する/3.2.Ingestion設計.md,redirected_to=https://papers.nips.cc/paper_files/paper/2015/hash/86df7dcfd896fcaf2674f757a2463eba-Abstract.html
SRC-024,LayoutLMv3,https://arxiv.org/abs/2204.08387,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,LayoutLMv3: Pre-training for Document AI with Unified Text and Image Masking,"Huang, Yupan; Lv, Tengchao; Cui, Lei; Lu, Yutong; Wei, Furu",2022,resolved,200,3.3.1;9.8.1,docs/3.回答に使う資料を準備する/3.3.文書解析と正規化.md,
SRC-025,PubLayNet,https://arxiv.org/abs/1908.07836,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,PubLayNet: largest dataset ever for document layout analysis,"Zhong, Xu; Tang, Jianbin; Yepes, Antonio Jimeno",2019,resolved,200,3.3.1;3.3.2;7.3.3,docs/3.回答に使う資料を準備する/3.3.文書解析と正規化.md,
SRC-026,DocLayNet,https://arxiv.org/abs/2206.01062,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,DocLayNet: A Large Human-Annotated Dataset for Document-Layout Analysis,"Pfitzmann, Birgit; Auer, Christoph; Dolfi, Michele; Nassar, Ahmed S; Staar, Peter W J",2022,resolved,200,3.3.1;3.3.2;7.3.3,docs/3.回答に使う資料を準備する/3.3.文書解析と正規化.md,
SRC-027,LayoutLM,https://arxiv.org/abs/1912.13318,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,LayoutLM: Pre-training of Text and Layout for Document Image Understanding,"Xu, Yiheng; Li, Minghao; Cui, Lei; Huang, Shaohan; Wei, Furu; Zhou, Ming",2019,resolved,200,3.3.1,docs/3.回答に使う資料を準備する/3.3.文書解析と正規化.md,
SRC-028,Donut,https://arxiv.org/abs/2111.15664,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,OCR-free Document Understanding Transformer,"Kim, Geewook; Hong, Teakgyu; Yim, Moonbin; Nam, Jeongyeon; Park, Jinyoung; Yim, Jinyeong; Hwang, Wonseok; Yun, Sangdoo; Han, Dongyoon; Park, Seunghyun",2021,resolved,200,3.3.2,docs/3.回答に使う資料を準備する/3.3.文書解析と正規化.md,
SRC-029,PubTables-1M,https://arxiv.org/abs/2110.00061,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,PubTables-1M: Towards comprehensive table extraction from unstructured documents,"Smock, Brandon; Pesala, Rohith; Abraham, Robin",2021,resolved,200,3.3.3;9.4.4;9.8.1,docs/3.回答に使う資料を準備する/3.3.文書解析と正規化.md,
SRC-030,Nougat,https://arxiv.org/abs/2308.13418,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Nougat: Neural Optical Understanding for Academic Documents,"Blecher, Lukas; Cucurull, Guillem; Scialom, Thomas; Stojnic, Robert",2023,resolved,200,3.3.3,docs/3.回答に使う資料を準備する/3.3.文書解析と正規化.md,
SRC-031,Dense X Retrieval,https://arxiv.org/abs/2312.06648,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Dense X Retrieval: What Retrieval Granularity Should We Use?,"Chen, Tong; Wang, Hongwei; Chen, Sihao; Yu, Wenhao; Ma, Kaixin; Zhao, Xinran; Zhang, Hongming; Yu, Dong",2023,resolved,200,3.4.1;3.4.3;3.4.6;7.3.3;9.5.2,docs/3.回答に使う資料を準備する/3.4.Chunking設計.md,
SRC-032,TextTiling,https://aclanthology.org/J97-1003/,査読付き論文／会議録,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Text Tiling: Segmenting Text into Multi-paragraph Subtopic Passages,Marti A. Hearst,1997,resolved,200,3.4.2,docs/3.回答に使う資料を準備する/3.4.Chunking設計.md,
SRC-033,RAPTOR / RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,https://arxiv.org/abs/2401.18059,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,"Sarthi, Parth; Abdullah, Salman; Tuli, Aditi; Khanna, Shubh; Goldie, Anna; Manning, Christopher D.",2024,resolved,200,3.4.4;11.3.4,docs/3.回答に使う資料を準備する/3.4.Chunking設計.md,
SRC-034,Late Chunking,https://arxiv.org/abs/2409.04701,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Late Chunking: Contextual Chunk Embeddings Using Long-Context Embedding Models,"Günther, Michael; Mohr, Isabelle; Williams, Daniel James; Wang, Bo; Xiao, Han",2024,resolved,200,3.4.4;3.6.4,docs/3.回答に使う資料を準備する/3.4.Chunking設計.md,
SRC-035,Lost in the Middle,https://arxiv.org/abs/2307.03172,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Lost in the Middle: How Language Models Use Long Contexts,"Liu, Nelson F.; Lin, Kevin; Hewitt, John; Paranjape, Ashwin; Bevilacqua, Michele; Petroni, Fabio; Liang, Percy",2023,resolved,200,3.4.6;5.6.2;7.5.4;9.5.1;9.5.3,docs/3.回答に使う資料を準備する/3.4.Chunking設計.md,
SRC-036,KILT,https://arxiv.org/abs/2009.02252,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,KILT: a Benchmark for Knowledge Intensive Language Tasks,"Petroni, Fabio; Piktus, Aleksandra; Fan, Angela; Lewis, Patrick; Yazdani, Majid; De Cao, Nicola; Thorne, James; Jernite, Yacine; Karpukhin, Vladimir; Maillard, Jean; Plachouras, Vassilis; Rocktäschel, Tim; Riedel, Sebastian",2020,resolved,200,3.5.1;6.5.1;7.1.1;7.2.1;7.5.5;8.4.2,docs/3.回答に使う資料を準備する/3.5.Metadata・Provenance・ACL設計.md,
SRC-037,ALCE,https://arxiv.org/abs/2305.14627,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Enabling Large Language Models to Generate Text with Citations,"Gao, Tianyu; Yen, Howard; Yu, Jiatong; Chen, Danqi",2023,resolved,200,3.5.2;5.5.3;6.1.3;6.4.2;7.1.3;7.6.3;8.4.1,docs/3.回答に使う資料を準備する/3.5.Metadata・Provenance・ACL設計.md,
SRC-038,StreamingQA,https://arxiv.org/abs/2205.11388,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,StreamingQA: A Benchmark for Adaptation to New Knowledge over Time in Question Answering Models,"Liška, Adam; Kočiský, Tomáš; Gribovskaya, Elena; Terzi, Tayfun; Sezener, Eren; Agrawal, Devang; d'Autume, Cyprien de Masson; Scholtes, Tim; Zaheer, Manzil; Young, Susannah; Gilsenan-McMahon, Ellen; Austin, Sophia; Blunsom, Phil; Lazaridou, Angeliki",2022,resolved,200,3.5.2;5.7.1;7.6.4;8.7.3,docs/3.回答に使う資料を準備する/3.5.Metadata・Provenance・ACL設計.md,
SRC-039,PoisonedRAG,https://arxiv.org/abs/2402.07867,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,PoisonedRAG: Knowledge Corruption Attacks to Retrieval-Augmented Generation of Large Language Models,"Zou, Wei; Geng, Runpeng; Wang, Binghui; Jia, Jinyuan",2024,resolved,200,3.5.3;5.1.4;7.7.3;8.3.1;8.3.2,docs/3.回答に使う資料を準備する/3.5.Metadata・Provenance・ACL設計.md,
SRC-040,RBACモデル / Role-Based Access Control Models,https://doi.org/10.1109/2.485845,DOI解決先,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Role-based access control models,R.S. Sandhu; E.J. Coyne; H.L. Feinstein; C.E. Youman,1996,resolved,200,3.5.4;7.3.4;8.1.2;11.3.5,docs/3.回答に使う資料を準備する/3.5.Metadata・Provenance・ACL設計.md,metadata_resolved_via=Crossref; doi=10.1109/2.485845
SRC-041,Cedar,https://arxiv.org/abs/2403.04651,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,"Cedar: A New Language for Expressive, Fast, Safe, and Analyzable Authorization (Extended Version)","Cutler, Joseph W.; Disselkoen, Craig; Eline, Aaron; He, Shaobo; Headley, Kyle; Hicks, Michael; Hietala, Kesha; Ioannidis, Eleftherios; Kastner, John; Mamat, Anwar; McAdams, Darin; McCutchen, Matt; Rungta, Neha; Torlak, Emina; Wells, Andrew",2024,resolved,200,3.5.4;8.1.2,docs/3.回答に使う資料を準備する/3.5.Metadata・Provenance・ACL設計.md,
SRC-042,Sentence-BERT / Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,https://arxiv.org/abs/1908.10084,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,"Reimers, Nils; Gurevych, Iryna",2019,resolved,200,3.6.1;4.4.1;11.3.2,docs/3.回答に使う資料を準備する/3.6.Embedding設計.md,
SRC-043,**DPR（Dense Passage Retrieval、密なパッセージ検索）** / Dense Passage Retrieval（DPR） / DPR,https://arxiv.org/abs/2004.04906,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Dense Passage Retrieval for Open-Domain Question Answering,"Karpukhin, Vladimir; Oğuz, Barlas; Min, Sewon; Lewis, Patrick; Wu, Ledell; Edunov, Sergey; Chen, Danqi; Yih, Wen-tau",2020,resolved,200,3.6.1;4.4.1;7.1.2;7.4.2;7.4.3,docs/3.回答に使う資料を準備する/3.6.Embedding設計.md,
SRC-044,**MTEB（Massive Text Embedding Benchmark、大規模テキスト埋め込みベンチマーク）** / MTEB / MTEB: Massive Text Embedding Benchmark,https://arxiv.org/abs/2210.07316,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,MTEB: Massive Text Embedding Benchmark,"Muennighoff, Niklas; Tazi, Nouamane; Magne, Loïc; Reimers, Nils",2022,resolved,200,3.6.3;4.4.2;7.3.5;11.3.2,docs/3.回答に使う資料を準備する/3.6.Embedding設計.md,
SRC-045,ColBERT / ColBERT: Efficient and Effective Passage Search via Contextualized Late Interaction over BERT,https://arxiv.org/abs/2004.12832,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,ColBERT: Efficient and Effective Passage Search via Contextualized Late Interaction over BERT,"Khattab, Omar; Zaharia, Matei",2020,resolved,200,3.6.4;4.4.5;11.3.2,docs/3.回答に使う資料を準備する/3.6.Embedding設計.md,
SRC-046,Matryoshka Representation Learning,https://arxiv.org/abs/2205.13147,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Matryoshka Representation Learning,"Kusupati, Aditya; Bhatt, Gantavya; Rege, Aniket; Wallingford, Matthew; Sinha, Aditya; Ramanujan, Vivek; Howard-Snyder, William; Chen, Kaifeng; Kakade, Sham; Jain, Prateek; Farhadi, Ali",2022,resolved,200,3.6.5;8.6.2,docs/3.回答に使う資料を準備する/3.6.Embedding設計.md,
SRC-047,HNSWの論文 / 階層的近傍グラフ（Hierarchical Navigable Small World：HNSW） / HNSW / Efficient and Robust Approximate Nearest Neighbor Search Using Hierarchical Navigable Small World Graphs,https://arxiv.org/abs/1603.09320,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Efficient and robust approximate nearest neighbor search using Hierarchical Navigable Small World graphs,"Malkov, Yu. A.; Yashunin, D. A.",2016,resolved,200,3.7.2;4.4.4;7.3.5;8.5.2;11.3.1,docs/3.回答に使う資料を準備する/3.7.Index構築とライフサイクル.md,
SRC-048,LuceneのHNSWをAnseriniへ統合した研究 / LuceneへHNSWを統合した研究,https://arxiv.org/abs/2304.12139,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Anserini Gets Dense Retrieval: Integration of Lucene's HNSW Indexes,"Ma, Xueguang; Teofili, Tommaso; Lin, Jimmy",2023,resolved,200,3.7.2;4.4.4,docs/3.回答に使う資料を準備する/3.7.Index構築とライフサイクル.md,
SRC-049,ACORN,https://arxiv.org/abs/2403.04871,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,ACORN: Performant and Predicate-Agnostic Search Over Vector Embeddings and Structured Data,"Patel, Liana; Kraft, Peter; Guestrin, Carlos; Zaharia, Matei",2024,resolved,200,3.7.2;4.6.2;4.6.3;5.1.2;7.4.4;7.5.2;8.1.2,docs/3.回答に使う資料を準備する/3.7.Index構築とライフサイクル.md,
SRC-050,NaviX,https://arxiv.org/abs/2506.23397,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,NaviX: A Native Vector Index Design for Graph DBMSs With Robust Predicate-Agnostic Search Performance,"Sehgal, Gaurav; Salihoglu, Semih",2025,resolved,200,3.7.2;4.6.3,docs/3.回答に使う資料を準備する/3.7.Index構築とライフサイクル.md,
SRC-051,Product Quantization,https://doi.org/10.1109/TPAMI.2010.57,DOI解決先,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Product Quantization for Nearest Neighbor Search,H Jégou; M Douze; C Schmid,2011,resolved,200,3.7.3,docs/3.回答に使う資料を準備する/3.7.Index構築とライフサイクル.md,metadata_resolved_via=Crossref; doi=10.1109/TPAMI.2010.57
SRC-052,FaissのGPU近傍探索 / Faissの研究 / 大規模類似検索の研究,https://arxiv.org/abs/1702.08734,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Billion-scale similarity search with GPUs,"Johnson, Jeff; Douze, Matthijs; Jégou, Hervé",2017,resolved,200,3.7.3;3.7.7;8.5.2,docs/3.回答に使う資料を準備する/3.7.Index構築とライフサイクル.md,
SRC-053,DiskANN,https://www.microsoft.com/en-us/research/publication/diskann-fast-accurate-billion-point-nearest-neighbor-search-on-a-single-node/,研究機関公開資料,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,DiskANN: Fast Accurate Billion-point Nearest Neighbor Search on a Single Node,Suhas Jayaram Subramanya; Devvrit; Rohan Kadekodi; Ravishankar Krishnaswamy; Harsha Simhadri,2019,resolved,200,3.7.3;3.7.7,docs/3.回答に使う資料を準備する/3.7.Index構築とライフサイクル.md,
SRC-054,FreshDiskANN,https://arxiv.org/abs/2105.09613,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,FreshDiskANN: A Fast and Accurate Graph-Based ANN Index for Streaming Similarity Search,"Singh, Aditi; Subramanya, Suhas Jayaram; Krishnaswamy, Ravishankar; Simhadri, Harsha Vardhan",2021,resolved,200,3.7.5;8.7.3,docs/3.回答に使う資料を準備する/3.7.Index構築とライフサイクル.md,
SRC-055,SPFresh,https://arxiv.org/abs/2410.14452,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,SPFresh: Incremental In-Place Update for Billion-Scale Vector Search,"Xu, Yuming; Liang, Hengyu; Li, Jin; Xu, Shuotao; Chen, Qi; Zhang, Qianxi; Li, Cheng; Yang, Ziyue; Yang, Fan; Yang, Yuqing; Cheng, Peng; Yang, Mao",2024,resolved,200,3.7.5;8.7.3,docs/3.回答に使う資料を準備する/3.7.Index構築とライフサイクル.md,
SRC-056,Manu,https://arxiv.org/abs/2206.13843,プレプリント／公開査読,起源・提案・代表研究・評価基準のいずれか（本文との関係を個別確認）,Manu: A Cloud Native Vector Database Management System,"Guo, Rentong; Luan, Xiaofan; Xiang, Long; Yan, Xiao; Yi, Xiaomeng; Luo, Jigao; Cheng, Qianya; Xu, Weizhi; Luo, Jiarui; Liu, Frank; Cao, Zhenshan; Qiao, Yanliang; Wang, Ting; Tang, Bo; Xie, Charles",2022,resolved,200,3.7.7,docs/3.回答に使う資料を準備する/3.7.Index構築とライフサイクル.md,
