sentence_id,logical_operator,relation_disposition,evidence_source_ids,evidence_locator,spec_contract,relation_reviewer,relation_review_date,relation_status,notes
SENT-0197,NOT,SOURCE_SUPPORTED,SRC-179;SRC-189,"https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-bedrock-kb.html, “Limitations” > “Semantic search only”; https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-query.html, “Querying vectors”; https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-metadata-filtering.html, “Metadata filtering”",,codex-independent-wave4,2026-08-15,VERIFIED,二者レビューで関係自体を一次資料locatorへ限定した。
SENT-0203,NOT,SPEC_CONTRACT_SUPPORTED,,,複数検索器のscoreは尺度が異なるため直接加算せず、正規化、順位統合、または再順位付けのいずれかを事前に定めて用いることを定める検索・経路選択規則について、この規則の統合規則をversion管理し、複数retrieverが返す既知rank listから期待するcandidate順序を再現し、生scoreの無条件加算や重複candidateが発生しないことを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0215,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,S3 Vectorsを直接queryする場合は、S3 Vectorsのmetadata filterに記載されたoperatorだけを使うことを定める運用規則について、この規則に列挙したdimension、field名、metadata型をdeployment manifestと実index schemaで照合し、不一致構成が接続testで拒否されることを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0225,NOT,SPEC_CONTRACT_SUPPORTED,,,managed種別のintegration testでRetrieveAndGenerate呼出しが0件であり、取得結果、citation、ACLがConverseまで保持されること。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0226,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,Managed Knowledge BaseではRetrieveまたはAgenticRetrieveStreamで根拠を取得し、生成が必要な場合は結果をConverseへ渡すことを定める運用規則について、この規則に含まれるservice、API、operator、region、versionをmanifestへ固定し、公式仕様の該当headingと実requestの成功・非対応errorが一致することを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0227,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,カスタマーマネージド型でKnowledge Basesの標準引用と生成が要件を満たす場合はRetrieveAndGenerateを使います。 Knowledge Bases標準citationのsource spanと生成回答を要件fixtureで照合し、citation形式と生成品質のgateを満たすrequestだけをRetrieveAndGenerateへ送ります。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0228,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,検索結果の重複、版、矛盾、根拠不足を独自に検査する場合は、Retrieve → LambdaでEvidence Set作成 → Converseへ分けることを定める追跡性・証跡管理規則について、この規則に示したservice経路を対象regionで一件ずつ実行し、各stageのrequest/response、artifact ID、failure responseを同じintegration traceへ保存する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0240,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,JSON Schemaで出力を制約できるmodelとregionは利用時点の対応状況を確認し、非対応の場合もアプリケーション側で同じschemaを検証することを定める構成・設定規則について、この規則に列挙したdimension、field名、metadata型をdeployment manifestと実index schemaで照合し、不一致構成が接続testで拒否されることを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0242,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-0244,NOT,SPEC_CONTRACT_SUPPORTED,,,guardrail判定、evidence support判定、ACL判定を別fieldで記録し、どれか一つの成功を他の判定の代用にしない。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0269,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,Amazon OpenSearch Serverlessを使う場合、indexはfaiss engineで作成し、embedding modelと同じdimensionのvector field、raw chunkを保存するfilterableなtext field、filter対象metadata、Bedrock metadata fieldを定義することを定める用語・工程定義について、この規則に列挙したdimension、field名、metadata型をdeployment manifestと実index schemaで照合し、不一致構成が接続testで拒否されることを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0282,NOT,SPEC_CONTRACT_SUPPORTED,,,各候補に安定ID、検索器、元順位、元score、文書版、権限属性を付け、Evidence Setまでの変換をtraceで再現できること。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0293,NOT,SPEC_CONTRACT_SUPPORTED,,,Managed Knowledge BaseではRetrieveAndGenerateを使用せず、検索にRetrieveまたはAgenticRetrieveStreamを使うことを定める運用規則について、この規則に含まれるservice、API、operator、region、versionをmanifestへ固定し、公式仕様の該当headingと実requestの成功・非対応errorが一致することを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0390,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,指標の計算方法と、正解根拠が複数ある場合の扱いは[Retrieval評価](../7.品質を評価し改善する/7.4.Retrieval評価.md)で説明します。 Retrieval評価への参照 ../7.品質を評価し改善する/7.4.Retrieval評価.md がrepository内で解決し、リンク先に本文が案内する定義・評価手順が存在することをlink checkと章レビューで確認します。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0422,IMPLIES,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-0481,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-0594,NOT,SPEC_CONTRACT_SUPPORTED,,,取得要求がHTTP成功でも、schema、record count、必須metadata、本文非空、重複率の検査を通過しなければ正常取り込みとせず、対象batchを隔離する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0680,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-0700,NOT,SPEC_CONTRACT_SUPPORTED,,,学術論文だけで評価した解析器が、帳票や規程でも同じ性能を持つとは限りません。 学術論文・帳票・規程を分けたgold document setで同じparserを実行し、表・見出し・条項・注記のspan保持率をdocument class別に記録してから適用範囲を決めます。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0728,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-0777,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,再解析前後のblock_idを対応付け、変更blockから派生したchunk_id、embedding version、citation_idを依存台帳で逆引きできることを検査する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0782,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-0807,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,検索改善を評価するときは、解析品質と分割品質を区別することを定める評価・採否規則について、本文に列挙した対象・条件・指標を個別fieldへ保存し、同一runの実装結果または評価結果と一致することを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0834,NOT,SPEC_CONTRACT_SUPPORTED,,,生成した命題は原文の代替にせず、元の文と親チャンクへ必ず結び付けることを定めるローカル設計規則について、この規則に列挙したID、version、artifactを必須schema fieldにし、任意のanswer/citationからsource document、original span、chunk、retrieval rank、configuration versionへ欠損なく到達できることを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0873,NOT,SPEC_CONTRACT_SUPPORTED,,,検索設定を固定してLLMへ渡すchunk単位だけを変え、retrieval hit、evidence sufficiency、answer correctnessを同じquestion IDで比較し、検索改善が最終回答へ反映されたか判定する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0877,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-0884,NOT,SPEC_CONTRACT_SUPPORTED,,,公開対象の全chunkでsource URIとpage/section/offsetのいずれかを必須にし、引用表示から原文範囲へ戻れないchunkが一件でもあれば公開gateを失敗させる。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-0898,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1042,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1057,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1062,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1073,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1075,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1088,NOT,SPEC_CONTRACT_SUPPORTED,,,同じcorpus、query、gold evidence、index条件で一要素だけを変更し、Recall、nDCG、遅延、費用の差を記録する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1101,NOT,SPEC_CONTRACT_SUPPORTED,,,内容ハッシュと埋め込みモデル版をキャッシュキーにすると、変更していないチャンクの再計算を避けられることを定める追跡性・証跡管理規則について、この規則で使用するhashまたはstable IDを同一入力と変更入力から生成し、同一入力は同じID、source/version/spanが異なる入力は別IDとなり、deduplication結果を逆引きできることを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1102,NOT,SPEC_CONTRACT_SUPPORTED,,,embedding cache keyへmodel ID、revision、preprocessing version、query/document prefix、normalizationを含め、いずれか一項目を変えた試験で旧vectorがcache hitしないことを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1105,NOT,SPEC_CONTRACT_SUPPORTED,,,embedding serviceのrate limitをqueue concurrencyとretry budgetへ反映し、batch負荷中もonline検索用capacityを予約してonline requestが設定SLOを超えないことを負荷試験する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1163,NOT,SPEC_CONTRACT_SUPPORTED,,,対象vector件数で全量in-memory方式とdisk/compressed方式を比較し、Recall guardrailを満たしたうえでpeak memoryとp95 latencyが容量予算内になる方式だけを候補にする。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1164,NOT,SPEC_CONTRACT_SUPPORTED,,,公開benchmarkは候補選定に限り、最終採否は対象データの品質、p95遅延、費用、更新性、安全性の閾値で判定する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1232,NOT,SPEC_CONTRACT_SUPPORTED,,,公開benchmark値を採用閾値にせず、対象hardware、vector distribution、index size、filter selectivityを固定した負荷試験でRecall、p95 latency、build time、memoryを再測定する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1276,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1318,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1382,NOT,SPEC_CONTRACT_SUPPORTED,,,query transformationは質問slice別A/B評価でbaselineより主要retrieval指標が改善し、end-to-end guardrailを悪化させないsliceだけにfeature flagで有効化する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1411,IMPLIES,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1460,NOT,SPEC_CONTRACT_SUPPORTED,,,必要根拠の回収率の改善は、利用者の意図や権限の逸脱を正当化しないことを定める安全性・アクセス制御規則について、この規則で列挙した各metricを同じrequest traceから算出し、authorization適用前後のcandidate数と許可外item数を含め、dashboardとrelease gateの値が一致することを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1467,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1534,NOT,SPEC_CONTRACT_SUPPORTED,,,原文だけのBM25と同じ評価質問で比較し、必要根拠の回収率と不要な候補の差を確認することを定める評価・採否規則について、この規則に含まれるretriever、candidate数、rank処理を固定したtest queryを実行し、統合前後のcandidate ID・rank・score変換が記述した順序と選択規則に一致することを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1536,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1542,IMPLIES,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1545,NOT,SPEC_CONTRACT_SUPPORTED,,,BM25を置き換える前提にせず、追加の検索器として検索表現に含める語の少なさ、検索品質、応答時間、追加学習していない分野での性能を比較することを定める評価・採否規則について、本文に列挙した対象・条件・指標を個別fieldへ保存し、同一runの実装結果または評価結果と一致することを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1549,NOT,SPEC_CONTRACT_SUPPORTED,,,密検索は、学習済みの意味空間で質問と文書を比較し、語の一致だけでは取得できない候補を探することを定める評価・採否規則について、この規則に含まれるretriever、candidate数、rank処理を固定したtest queryを実行し、統合前後のcandidate ID・rank・score変換が記述した順序と選択規則に一致することを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1554,NOT,SPEC_CONTRACT_SUPPORTED,,,結果は学習データと評価条件に依存し、すべての業務で疎検索を上回ることを意味しないことを定める評価・採否規則について、本文に列挙した対象・条件・指標を個別fieldへ保存し、同一runの実装結果または評価結果と一致することを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1555,NOT,SPEC_CONTRACT_SUPPORTED,,,高いvector similarityを持つが偽、低信頼、期限切れ、非許可のdocument fixtureを用い、similarity scoreだけではtruth、source trust、freshness、authorizationのいずれも合格にならないことを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1585,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1613,NOT,SPEC_CONTRACT_SUPPORTED,,,strict authorization、number/model identifier、少数critical queryをrelease guardrail sliceとして分離し、全体平均が改善しても各sliceのgold evidence Recallが下限未満なら不合格にする。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1615,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,authorized candidateが少ないfixtureではexact searchへ切り替え、deadline超過fixtureではauthorized sparse/fused rankまたはabstentionへ遷移し、非許可candidateを補充しないことを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1647,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1649,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1650,NOT,SPEC_CONTRACT_SUPPORTED,,,疎検索、密検索、ハイブリッド検索を同じ正解集合で比較し、改善がない質問群には単純な経路を残すことを定める評価・採否規則について、この規則に挙げた選択肢を同じdataset version、query slice、gold evidence、負荷条件で比較し、対象sliceごとの品質・latency・costを一つのresult tableへ記録する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1651,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1668,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1678,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1685,NOT,SPEC_CONTRACT_SUPPORTED,,,本ガイドでは、RRFを各検索器の順位を統合する工程、再順位付けを統合後の候補本文を再評価する工程として区別することを定める評価・採否規則について、本文、図表、schema、評価台帳で同じ対象、単位、入出力を使用し、異なる意味で使う箇所がrepository内検索でゼロ件であることを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1687,NOT,SPEC_CONTRACT_SUPPORTED,,,元スコアを使う統合では、BM25とコサイン類似度を未調整のまま加算しないことを定めるローカル設計規則について、この規則の統合規則をversion管理し、複数retrieverが返す既知rank listから期待するcandidate順序を再現し、生scoreの無条件加算や重複candidateが発生しないことを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1708,NOT,SPEC_CONTRACT_SUPPORTED,,,候補には発見元の検索文と検索器を結び付け、正解根拠を追加しない検索経路を評価で削除することを定める評価・採否規則について、この規則に含まれるretriever、candidate数、rank処理を固定したtest queryを実行し、統合前後のcandidate ID・rank・score変換が記述した順序と選択規則に一致することを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1714,NOT,SPEC_CONTRACT_SUPPORTED,,,アクセス制御リスト（Access Control List：ACL）の判定を再順位付け器のスコアへ委ねません。 ACL拒否candidateをreranker投入前に除外し、どれだけ高いrelevance scoreを与えてもcontextとanswerへ現れないnegative fixtureを通します。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1715,NOT,SPEC_CONTRACT_SUPPORTED,,,reranker timeoutを注入し、requestがauthorized fused rankへ戻るかabstainし、部分rerank結果や非許可candidateを回答contextへ入れないことを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1729,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1749,IMPLIES,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1757,IMPLIES,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1775,NOT,SPEC_CONTRACT_SUPPORTED,,,失敗queryごとに各段階の入力、候補数、除外理由、順位、版をtraceし、少なくとも一つの原因または未分類へ割り当てる。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1799,IMPLIES,SPEC_CONTRACT_SUPPORTED,,,query normalization、検索器の設定、fusion、filter、chunk、indexの修正で再現失敗を解消できるなら、第4章までのbaselineを改善することを定める検索・経路選択規則について、この規則で指定した検索経路と分岐条件をtraceへ記録し、条件を満たすfixtureと満たさないfixtureで、選択retriever、candidate集合、fallback先が期待値に一致することを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1845,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1854,NOT,SPEC_CONTRACT_SUPPORTED,,,filter selectivityの複数bucketごとにANNとexact searchのcandidate一致率、Recall、処理時間を同じquery setで測り、研究報告値ではなく対象indexの結果で方式を決める。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1912,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1937,NOT,SPEC_CONTRACT_SUPPORTED,,,内容ハッシュで分かる完全重複は再順位付け前に除き、同じ候補へ高価なモデルを繰り返し適用しないことを定める検索・経路選択規則について、この規則で使用するhashまたはstable IDを同一入力と変更入力から生成し、同一入力は同じID、source/version/spanが異なる入力は別IDとなり、deduplication結果を逆引きできることを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1942,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-1958,NOT,SPEC_CONTRACT_SUPPORTED,,,gold evidenceがfirst-stage candidateにないfixtureはcandidate generation、candidateにあるが受入rank未満のfixtureはfusion/rerankingへdiagnosisを割り当て、両者を別issueとして記録する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-1973,NOT,REMOVED_BY_REWRITE,,,,codex-independent-wave4,2026-08-15,VERIFIED,原文の未支持NOT/IMPLIESを、署名済み修正文または非命題分類で解消した。
SENT-2003,NOT,SPEC_CONTRACT_SUPPORTED,,,reranker unavailable responseを発生させ、authorized first-stage/fused rankへ戻ること、fallback前後のcandidate IDとrankがtraceに保存されることを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
SENT-2008,NOT,SPEC_CONTRACT_SUPPORTED,,,全体平均が改善しても、重要質問で必要根拠を落とす、未知の候補IDを出す、処理期限や費用上限を超える場合は採用しないことを定める評価・採否規則について、この規則に含まれるretriever、candidate数、rank処理を固定したtest queryを実行し、統合前後のcandidate ID・rank・score変換が記述した順序と選択規則に一致することを確認する。,codex-independent-wave4,2026-08-15,VERIFIED,外部事実ではなく本ガイドのローカル契約として確定した。
