state_id,unit_id,chapter,file,line_start,line_end,heading,summary,technical_elements,source_ids,invariant_ids,scenario_ids,result,finding_ids,review_note
STATE-013,2.1.1,2,docs/2.アーキテクチャ/2.1.RAGパイプライン全体像.md,3,16,四工程は処理の目的を表す,# 2.1. 四工程と二層で全体を捉える RAGの構成要素は増え続けていますが、各要素が受け取る入力と作る出力は四工程へ整理できます。 [Huangらのサーベイ](https://doi.org/10.1145/3805774)は、単一回の検索だけでなく、反復検索や複数段階の検索も、検索前処理、検索、検索後処理、生成の四段階で整理しています。 本書もこの枠組みを採用し、どの工程で最初の逸脱が起きたかを評価できる構成にします。 1. **検索前処理**は、文書と質問を検索に使える表現へ変換します。成果物は、公開済み索引、メタデータ、検索条件、検索クエリです。 2. **検索**は、質問に関係する根拠候補を集めます。成果物は、検索方式ごとの候補、順位、スコア、適用した検索条件です。 3. **検索後処理**は、候補を選別・整形して回答に使う根拠集合へ変換します。成果物は、採用理由と出典位置を持つ**Evidence Set（根拠集合）**です。 4. **生成**は、Evidence Setが支える範囲で回答、引用、または回答保留を作ります。成果物は、主張と根拠を対応付けた回答です。 四工程を分けると、「検索対象に正解があるか」「候補へ取得できたか」「取得後に残せたか」「回答が根拠を正しく使ったか」を個別に確認できます。 評価と非機能は、四工程すべての品質と制約を測る横断的な活動です。,Evidence Set;Answerability・Refusal;Citation,SRC-008,INV-004;INV-009;INV-010;INV-013;INV-012;INV-019,SCN-001;SCN-006;SCN-010;SCN-011;SCN-012;SCN-016;SCN-018;SCN-019,整合（一次資料あり）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-014,2.1.2,2,docs/2.アーキテクチャ/2.1.RAGパイプライン全体像.md,17,28,二層は処理の実行時点を表す,**Batch Layer**は、質問を受ける前に文書を収集・解析し、検索可能な索引として公開します。 文書更新と索引更新を版単位で管理するため、同じ入力から同じ成果物を再構築できる再現性を重視します。 **Real-time Layer**は、質問ごとに検索条件を作り、候補取得、根拠整形、生成を実行します。 利用者の権限、応答時間、回答可能性を質問単位で扱い、Batch Layerが公開した版を参照します。 四工程と二層は一対一には対応しません。 検索前処理のうち、文書解析、分割、埋め込み、索引作成はBatch Layerで動き、質問理解と質問変換はReal-time Layerで動きます。 検索、検索後処理、生成は主にReal-time Layerで動きますが、評価用の再実行はBatch Layerでも行います。,文書解析・Layout・OCR;ACL・認可;Embedding;Answerability・Refusal,,INV-004;INV-022;INV-001;INV-002;INV-003;INV-015;INV-006;INV-009;INV-013,SCN-001;SCN-006;SCN-003;SCN-019;SCN-005;SCN-004;SCN-013;SCN-014;SCN-015;SCN-016;SCN-008;SCN-010;SCN-012,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-015,2.1.3,2,docs/2.アーキテクチャ/2.1.RAGパイプライン全体像.md,29,78,後続章を四工程から選ぶ,技術要素ごとに、属する工程と参照先を対応付けると、現在の課題から読む節を選べます。 | 工程 | 技術要素 | 章・節番号・ページ | |---|---|---| | 検索前処理 | データソース棚卸し | [第3章 3.1.](../3.回答に使う資料を準備する/3.1.データソース棚卸し.md) | | 検索前処理 | Ingestion | [第3章 3.2.](../3.回答に使う資料を準備する/3.2.Ingestion設計.md) | | 検索前処理 | 文書解析と正規化 | [第3章 3.3.](../3.回答に使う資料を準備する/3.3.文書解析と正規化.md) | | 検索前処理 | Chunking | [第3章 3.4.](../3.回答に使う資料を準備する/3.4.Chunking設計.md) | | 検索前処理 | Metadata・Provenance・ACL | [第3章 3.5.](../3.回答に使う資料を準備する/3.5.Metadata・Provenance・ACL設計.md) | | 検索前処理 | Embedding | [第3章 3.6.](../3.回答に使う資料を準備する/3.6.Embedding設計.md) | | 検索前処理 | Index構築とライフサイクル | [第3章 3.7.](../3.回答に使う資料を準備する/3.7.Index構築とライフサイクル.md) | | 検索前処理 | Publish前ゲート | [第3章 3.8.](../3.回答に使う資料を準備する/3.8.Publish前ゲート.md) | | ,情報源台帳;Ingestion;文書解析・Layout・OCR;Chunking;Metadata・Provenance;ACL・認可;Embedding;Query理解・計画;Sparse retrieval;Dense retrieval;Hybrid・Fusion;Retrieval-time filtering;Dedup・Diversity;Reranking;Context compression;Evidence Set;Context packing;矛盾・版・時点;Grounded generation;Answerability・Refusal;Citation;Claim-level verification;Conversational RAG,,INV-004;INV-005;INV-024;INV-003;INV-022;INV-023;INV-008;INV-019;INV-001;INV-002;INV-015;INV-006;INV-007;INV-021;INV-020;INV-009;INV-010;INV-013;INV-011;INV-012;INV-014,SCN-001;SCN-006;SCN-002;SCN-007;SCN-004;SCN-019;SCN-016;SCN-018;SCN-003;SCN-005;SCN-013;SCN-014;SCN-015;SCN-008;SCN-009;SCN-010;SCN-011;SCN-012,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-016,2.2.1,2,docs/2.アーキテクチャ/2.2.検索前処理の概要.md,7,16,Batch Layerで文書を準備する,# 2.2. 検索前処理の概要 検索前処理は、文書と質問を検索へ渡せる状態に整える工程です。 Batch Layerでは文書から索引を作り、Real-time Layerでは質問から検索条件と検索クエリを作ります。 二つの経路が同じメタデータ定義、版、検索方式を共有すると、質問の条件を索引へ正しく適用できます。 最初に、参照する情報源の正本、所有者、更新頻度、版、有効期間、機密区分を定めます。 続いて、文書の読み順と出典位置を保って解析し、検索と引用に適した単位へ分けます。 各文書とチャンクには、出典、版、時点、分類、来歴、アクセス制御属性を付けます。 文書の表現は、語彙一致に使う疎な索引と、意味の近さに使う埋め込み・ベクトル索引へ登録できます。 公開前ゲートで件数、欠損、権限、削除反映、検索品質を確認し、合格した索引版をReal-time Layerへ公開します。 具体的な設計は[回答に使う資料を準備する](../3.回答に使う資料を準備する/序文.md)で扱います。,Chunking;Metadata・Provenance;ACL・認可;Embedding;矛盾・版・時点;Citation;Privacy・機密情報;更新・削除・Rollback,,INV-004;INV-008;INV-022;INV-005;INV-019;INV-001;INV-002;INV-003;INV-015;INV-006;INV-010;INV-013;INV-012;INV-024;INV-017;INV-018;INV-023,SCN-001;SCN-006;SCN-002;SCN-007;SCN-016;SCN-018;SCN-019;SCN-003;SCN-005;SCN-004;SCN-013;SCN-014;SCN-015;SCN-008;SCN-011;SCN-012;SCN-010;SCN-017,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-017,2.2.2,2,docs/2.アーキテクチャ/2.2.検索前処理の概要.md,17,23,Real-time Layerで質問を準備する,質問から対象、意図、版、期間、否定条件、会話中の省略を読み取り、検索計画へ変換します。 語彙一致が必要な識別子、意味検索（密検索、Dense retrieval）が適する言い換え、メタデータへ適用する条件を分けることで、後続の検索方式を選べます。以後、本文では「密検索」を標準表記とします。 質問変換を行う場合は、元の意味、制約、固有名詞を保持し、元質問と変換後の質問を同じ実行記録へ残します。 具体的な処理は[Query理解と検索計画](../4.質問に合う根拠を探す/4.1.Query理解と検索計画.md)と[Query変換](../4.質問に合う根拠を探す/4.2.Query変換.md)で扱います。,Query理解・計画;Dense retrieval,,INV-007;INV-021;INV-006;INV-008,SCN-009;SCN-008,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-018,2.3.1,2,docs/2.アーキテクチャ/2.3.検索の概要.md,6,14,複数の検索表現を組み合わせる,# 2.3. 検索の概要 検索は、検索前処理が作った質問と索引を使い、正解根拠を含み得る候補集合を作る工程です。 この工程では候補の回収を優先し、最終的に回答へ採用する根拠は検索後処理で決めます。 疎検索は、製品コード、条文番号、専門用語などの語彙一致を捉えます。 密検索は、質問と文書の言い換えや意味の近さを捉えます。 ハイブリッド検索は両方の候補を統合し、どちらか一方だけでは回収しにくい質問へ対応します。 検索時には、利用者のアクセス権、版、有効期間、地域、製品などの条件を候補取得へ適用します。 検索方式ごとの候補、順位、スコア、フィルター前後の件数を記録すると、語彙、埋め込み、条件、索引のどこを調整すべきか判断できます。,Embedding;Hybrid・Fusion;矛盾・版・時点,,INV-006;INV-008;INV-005;INV-010;INV-013,SCN-008;SCN-001;SCN-002;SCN-007;SCN-011;SCN-012;SCN-010,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-019,2.3.2,2,docs/2.アーキテクチャ/2.3.検索の概要.md,15,24,検索の完了条件を候補回収で測る,検索工程の完了条件は、評価対象の質問に必要な根拠が上位候補へ含まれることです。 正解根拠を定めた評価データを使い、Recall@k、順位、ゼロ件率、フィルター前後の件数、応答時間を質問種類別に測ります。 **Recall@k**は、検索結果の上位k件までに、質問へ答えるための正解根拠をどの程度回収できたかを表す指標です。 指標の計算方法と、正解根拠が複数ある場合の扱いは[Retrieval評価](../7.品質を評価し改善する/7.4.Retrieval評価.md)で説明します。 検索方式と失敗診断の詳細は[質問に合う根拠候補を探す](../4.質問に合う根拠を探す/序文.md)で扱います。 候補へ入った根拠の選別は、次の[検索後処理](../5.根拠を選別・整形する/序文.md)へ渡します。,Retrieval評価,,INV-020,,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-020,2.4.1,2,docs/2.アーキテクチャ/2.4.検索後処理の概要.md,6,13,候補を比較できる形へそろえる,# 2.4. 検索後処理の概要 検索後処理は、取得した候補を回答に使える根拠集合へ変える工程です。 関連度だけでなく、権限、版、鮮度、出典、重複、矛盾、質問の各論点に対する十分性を確認します。 検索器ごとに異なる候補形式を共通の項目へそろえ、同じ内容の複製と近接チャンクをまとめます。 候補数が多い場合は再順位付けで質問への適合度を比較し、必要な文だけを抽出する場合は出典位置を保ったまま圧縮します。 これらの処理は、検索が返した正解根拠を回答まで残すために使います。 再順位付け前後の順位、除外理由、圧縮前後の根拠範囲を記録すると、検索と検索後処理の影響を分けて評価できます。,Chunking;ACL・認可;矛盾・版・時点,,INV-004;INV-008;INV-022;INV-001;INV-002;INV-003;INV-015;INV-005;INV-010;INV-013,SCN-001;SCN-006;SCN-003;SCN-019;SCN-005;SCN-004;SCN-013;SCN-014;SCN-015;SCN-016;SCN-002;SCN-007;SCN-011;SCN-012;SCN-010,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-021,2.4.2,2,docs/2.アーキテクチャ/2.4.検索後処理の概要.md,14,20,Evidence Setとして根拠を確定する,採用した候補は、支持、反証、背景、旧版などの役割と出典を持つEvidence Setへまとめます。 質問の主要な論点を根拠が覆い、引用先へ戻れる状態を確認したうえで生成へ渡します。 矛盾や不足もEvidence Setの状態として表現し、生成工程が回答範囲または回答保留を選べるようにします。 候補の正規化からEvidence Setの検証までの詳細は[根拠候補をEvidence Setに整える](../5.根拠を選別・整形する/序文.md)で扱います。,Evidence Set;矛盾・版・時点;Answerability・Refusal;Citation,,INV-004;INV-009;INV-010;INV-005;INV-013;INV-012;INV-019,SCN-001;SCN-006;SCN-010;SCN-011;SCN-012;SCN-002;SCN-007;SCN-016;SCN-018;SCN-019,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-022,2.5.1,2,docs/2.アーキテクチャ/2.5.生成の概要.md,6,13,根拠が支える範囲で回答する,# 2.5. 生成の概要 生成は、質問とEvidence Setから、根拠が支える回答、引用、または回答保留を作る工程です。 入力では命令と根拠を構造的に分け、出力では回答本文、引用、回答状態を分けて扱います。 プロンプトには、Evidence Setに含まれる情報を根拠として使うこと、主張へ引用を対応付けること、根拠の適用範囲を保つことを指定します。 回答形式は、本文だけでなく、引用先、参照した版、回答可能性をアプリケーションが検査できる構造にします。 複数の根拠を統合する場合は、各主張をどの根拠が支えるか確認します。 矛盾が残る場合は相違点と確認できた範囲を示し、十分な根拠が揃う範囲へ回答を限定します。,Evidence Set;矛盾・版・時点;Answerability・Refusal;Citation,,INV-004;INV-009;INV-010;INV-005;INV-013;INV-012;INV-019,SCN-001;SCN-006;SCN-010;SCN-011;SCN-012;SCN-002;SCN-007;SCN-016;SCN-018;SCN-019,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-023,2.5.2,2,docs/2.アーキテクチャ/2.5.生成の概要.md,14,19,回答保留を正常な出力として扱う,回答保留は、必要な根拠、権限、対象条件のいずれかが不足した状態を利用者へ伝える出力です。 不足している条件が特定できる場合は確認質問へ進み、情報源に答えが存在する可能性がある場合は追加検索へ戻します。 回答生成、引用、主張検証、会話履歴、業務実行との境界は[根拠に基づいて回答する](../6.根拠に基づいて回答する/序文.md)で扱います。,ACL・認可;Grounded generation;Answerability・Refusal;Citation;Conversational RAG,,INV-001;INV-002;INV-003;INV-015;INV-011;INV-012;INV-014;INV-009;INV-013;INV-004;INV-019;INV-007;INV-024,SCN-003;SCN-019;SCN-005;SCN-004;SCN-013;SCN-014;SCN-015;SCN-016;SCN-001;SCN-011;SCN-010;SCN-012;SCN-006;SCN-018;SCN-009,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-024,2.6.1,2,docs/2.アーキテクチャ/2.6.評価の概要.md,6,23,工程ごとの品質を測る,# 2.6. 評価の概要 評価は、四工程の成果物と最終回答を同じ質問単位で測り、改善箇所を特定する活動です。 評価データには、質問、期待する回答状態、正解根拠、対象版、重要な主張、評価対象の質問分類を持たせます。 検索前処理では、解析成功率、チャンク境界、メタデータ欠損、索引反映、削除反映を測ります。 検索では正解根拠のRecall@kと順位、検索後処理では正解根拠の保持率、重複、Evidence Setの十分性を測ります。 生成では、主張が根拠に支持される割合、引用の正しさと網羅性、回答可能性の判定を測ります。 第2章では、後続章で使う主要な評価用語を次の意味で読みます。 | 指標 | 平易な意味 | 詳細 | |---|---|---| | Recall@k | 検索結果の上位k件までに、必要な正解根拠をどの程度回収できたか | [7.4. Retrieval評価](../7.品質を評価し改善する/7.4.Retrieval評価.md) | | Evidence sufficiency | 選んだ根拠の集合だけで、質問へ答えるための情報が足りるか | [7.5. Post-retrieval・Evidence評価](../7.品質を評価し改善する/7.5.Post-retrieval・Evidence評価.md) | | Faithfulness | 回答中の検証可能な主張が、提示した根拠に支持されているか | [7.6. Generation評価](../7.品質を評価し改善する/7.6.Generation評価.md) | | Citation correctness ,Chunking;Evidence Set;Answerability・Refusal;Citation;Retrieval評価;Generation評価;更新・削除・Rollback,,INV-004;INV-008;INV-022;INV-009;INV-010;INV-013;INV-012;INV-019;INV-020;INV-011;INV-003;INV-017;INV-018;INV-023,SCN-001;SCN-006;SCN-010;SCN-011;SCN-012;SCN-016;SCN-018;SCN-019;SCN-004;SCN-017,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
STATE-025,2.6.2,2,docs/2.アーキテクチャ/2.6.評価の概要.md,24,30,変更前後を同じ条件で比較する,文書、解析器、分割、埋め込み、索引、検索、再順位付け、プロンプト、生成モデルの変更は、同じ評価データと合格基準で比較します。 品質、応答時間、費用、安全性を同時に確認すると、局所的な改善とシステム全体の回帰を区別できます。 評価結果には構成版と実行記録を結び付けます。 この対応により、公開判断、限定公開、切り戻し、次の改善対象を同じ証拠から決められます。,Embedding;Regression・A/B・Canary;Cost・Routing;更新・削除・Rollback,,INV-006;INV-017;INV-018;INV-020;INV-021;INV-003;INV-023,SCN-008;SCN-017;SCN-018;SCN-004;SCN-019,整合（統合・仕様説明）,,Quintは状態遷移契約を検査。説明の事実妥当性は一次資料台帳で別途追跡。
