source_id,title,url,trust_tier,inspection_status,evidence_scope,formal_atoms,projection_summary,retrieval_date,notes
SRC-019,Data Validation for Machine Learning,https://research.google/pubs/data-validation-for-machine-learning/,B,PRIMARY_PAGE_INSPECTED,primary_page,retrieval=true;evidence_support=true;data_quality=true,"Controlled projection: retrieval=true, evidence_support=true, data_quality=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-020,The dataflow model,https://doi.org/10.14778/2824032.2824076,A,PRIMARY_PAGE_INSPECTED,primary_page,dataflow=true,Controlled projection: dataflow=true,2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-021,Delta Lake: High-Performance ACID Table Storage over Cloud Object Stores,https://www.vldb.org/pvldb/vol13/p3411-armbrust.pdf,A,PRIMARY_PAGE_INSPECTED,primary_page,retrieval=true;attribution=true;cost=true;acid=true,"Controlled projection: retrieval=true, attribution=true, cost=true, acid=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-022,MillWheel: Fault-Tolerant Stream Processing at Internet Scale,https://www.vldb.org/pvldb/vol6/p1033-akidau.pdf,A,PRIMARY_PAGE_INSPECTED,primary_page,generation=true;citation=true;latency=true;cost=true;scalability=true;fault_tolerance=true,"Controlled projection: generation=true, citation=true, latency=true, cost=true, scalability=true, fault_tolerance=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-023,Hidden Technical Debt in Machine Learning Systems,https://papers.nips.cc/paper/5656-hidden-technical-debt-in-machine-learning-systems,A,PRIMARY_PAGE_INSPECTED,primary_page,,No controlled atom recognized,2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-024,LayoutLMv3: Pre-training for Document AI with Unified Text and Image Masking,https://arxiv.org/abs/2204.08387,B,PRIMARY_PAGE_INSPECTED,primary_page,multimodal=true,Controlled projection: multimodal=true,2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-025,PubLayNet: largest dataset ever for document layout analysis,https://arxiv.org/abs/1908.07836,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;layout=true;evaluation=true;benchmark=true;empirical_result=true,"Controlled projection: retrieval=true, layout=true, evaluation=true, benchmark=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-026,DocLayNet: A Large Human-Annotated Dataset for Document-Layout Analysis,https://arxiv.org/abs/2206.01062,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;evidence_support=true;layout=true;segmentation=true;benchmark=true;empirical_result=true,"Controlled projection: retrieval=true, evidence_support=true, layout=true, segmentation=true, benchmark=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-027,LayoutLM: Pre-training of Text and Layout for Document Image Understanding,https://arxiv.org/abs/1912.13318,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;layout=true;empirical_result=true,"Controlled projection: retrieval=true, layout=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-028,OCR-free Document Understanding Transformer,https://arxiv.org/abs/2111.15664,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;ocr=true;cost=true;empirical_result=true,"Controlled projection: retrieval=true, ocr=true, cost=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-029,PubTables-1M: Towards comprehensive table extraction from unstructured documents,https://arxiv.org/abs/2110.00061,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;table_extraction=true;segmentation=true;evaluation=true;benchmark=true;empirical_result=true,"Controlled projection: retrieval=true, table_extraction=true, segmentation=true, evaluation=true, benchmark=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-030,Nougat: Neural Optical Understanding for Academic Documents,https://arxiv.org/abs/2308.13418,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;ocr=true,"Controlled projection: retrieval=true, ocr=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-031,Dense X Retrieval: What Retrieval Granularity Should We Use?,https://arxiv.org/abs/2312.06648,B,PRIMARY_ABSTRACT_INSPECTED,abstract,rag=true;retrieval=true;generation=true;chunking=true;dense=true;empirical_result=true,"Controlled projection: rag=true, retrieval=true, generation=true, chunking=true, dense=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-032,Text Tiling: Segmenting Text into Multi-paragraph Subtopic Passages,https://aclanthology.org/J97-1003/,A,PRIMARY_ABSTRACT_INSPECTED,abstract,verification=true;segmentation=true;lexical_cohesion=true,"Controlled projection: verification=true, segmentation=true, lexical_cohesion=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-033,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,https://arxiv.org/abs/2401.18059,B,PRIMARY_ABSTRACT_INSPECTED,abstract,rag=true;retrieval=true;generation=true;hierarchical=true;multi_hop=true;evaluation=true;benchmark=true;ab_testing=true;empirical_result=true;generated_summaries=true;provenance_required=true,"Controlled projection: rag=true, retrieval=true, generation=true, hierarchical=true, multi_hop=true, evaluation=true, benchmark=true, ab_testing=true, empirical_result=true, generated_summaries=true, provenance_required=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-034,Late Chunking: Contextual Chunk Embeddings Using Long-Context Embedding Models,https://arxiv.org/abs/2409.04701,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;chunking=true;compression=true;long_context=true;embedding_model=true;encode_before_pool=true,"Controlled projection: retrieval=true, chunking=true, compression=true, long_context=true, embedding_model=true, encode_before_pool=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-035,Lost in the Middle: How Language Models Use Long Contexts,https://arxiv.org/abs/2307.03172,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;generation=true;long_context=true;evaluation=true,"Controlled projection: retrieval=true, generation=true, long_context=true, evaluation=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-036,KILT: a Benchmark for Knowledge Intensive Language Tasks,https://arxiv.org/abs/2009.02252,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;generation=true;external_knowledge=true;knowledge_intensive=true;open_domain_qa=true;factuality=true;evidence_support=true;evaluation=true;benchmark=true;empirical_result=true,"Controlled projection: retrieval=true, generation=true, external_knowledge=true, knowledge_intensive=true, open_domain_qa=true, factuality=true, evidence_support=true, evaluation=true, benchmark=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-037,Enabling Large Language Models to Generate Text with Citations,https://arxiv.org/abs/2305.14627,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;generation=true;citation=true;hallucination=true;evidence_support=true;evaluation=true;benchmark=true;human_evaluation=true;dimension_contract=true;empirical_result=true,"Controlled projection: retrieval=true, generation=true, citation=true, hallucination=true, evidence_support=true, evaluation=true, benchmark=true, human_evaluation=true, dimension_contract=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-038,StreamingQA: A Benchmark for Adaptation to New Knowledge over Time in Question Answering Models,https://arxiv.org/abs/2205.11388,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;generation=true;temporal_freshness=true;evaluation=true;benchmark=true;empirical_result=true,"Controlled projection: retrieval=true, generation=true, temporal_freshness=true, evaluation=true, benchmark=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-039,PoisonedRAG: Knowledge Corruption Attacks to Retrieval-Augmented Generation of Large Language Models,https://arxiv.org/abs/2402.07867,B,PRIMARY_ABSTRACT_INSPECTED,abstract,rag=true;retrieval=true;generation=true;external_knowledge=true;hallucination=true;temporal_freshness=true;evaluation=true;security=true;empirical_result=true,"Controlled projection: rag=true, retrieval=true, generation=true, external_knowledge=true, hallucination=true, temporal_freshness=true, evaluation=true, security=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-040,Role-based access control models,https://doi.org/10.1109/2.485845,A,PRIMARY_PAGE_INSPECTED,primary_page,authorization=true,Controlled projection: authorization=true,2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-041,"Cedar: A New Language for Expressive, Fast, Safe, and Analyzable Authorization (Extended Version)",https://arxiv.org/abs/2403.04651,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;evaluation=true;authorization=true,"Controlled projection: retrieval=true, evaluation=true, authorization=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-042,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,https://arxiv.org/abs/1908.10084,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;dense=true;evaluation=true;empirical_result=true;cosine_compatible=true;independent_encoding=true,"Controlled projection: retrieval=true, dense=true, evaluation=true, empirical_result=true, cosine_compatible=true, independent_encoding=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-043,Dense Passage Retrieval for Open-Domain Question Answering,https://arxiv.org/abs/2004.04906,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;open_domain_qa=true;dense=true;lexical=true;document_statistics=true;tf_saturation=true;length_normalization=true;dual_encoder=true;evaluation=true;benchmark=true;recall_metric=true;empirical_result=true;similarity=dot_product,"Controlled projection: retrieval=true, open_domain_qa=true, dense=true, lexical=true, document_statistics=true, tf_saturation=true, length_normalization=true, dual_encoder=true, evaluation=true, benchmark=true, recall_metric=true, empirical_result=true, similarity=dot_product",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-044,MTEB: Massive Text Embedding Benchmark,https://arxiv.org/abs/2210.07316,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;rerank=true;evaluation=true;benchmark=true;empirical_result=true,"Controlled projection: retrieval=true, rerank=true, evaluation=true, benchmark=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-045,ColBERT: Efficient and Effective Passage Search via Contextualized Late Interaction over BERT,https://arxiv.org/abs/2004.12832,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;generation=true;late_interaction=true;rerank=true;evaluation=true;cost=true;empirical_result=true;dense=true;multi_vector=true,"Controlled projection: retrieval=true, generation=true, late_interaction=true, rerank=true, evaluation=true, cost=true, empirical_result=true, dense=true, multi_vector=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-046,Matryoshka Representation Learning,https://arxiv.org/abs/2205.13147,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;learned=true;cost=true;dimension_contract=true;empirical_result=true,"Controlled projection: retrieval=true, learned=true, cost=true, dimension_contract=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-047,Efficient and robust approximate nearest neighbor search using Hierarchical Navigable Small World graphs,https://arxiv.org/abs/1603.09320,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;hierarchical=true;ann=true;graph_index=true;incremental_updates=true;evaluation=true;empirical_result=true;recall_latency_tradeoff=true,"Controlled projection: retrieval=true, hierarchical=true, ann=true, graph_index=true, incremental_updates=true, evaluation=true, empirical_result=true, recall_latency_tradeoff=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-048,Anserini Gets Dense Retrieval: Integration of Lucene's HNSW Indexes,https://arxiv.org/abs/2304.12139,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;dense=true;sparse=true;lexical=true;tf_saturation=true;length_normalization=true;inverted_index_compatible=true;ann=true;empirical_result=true,"Controlled projection: retrieval=true, dense=true, sparse=true, lexical=true, tf_saturation=true, length_normalization=true, inverted_index_compatible=true, ann=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-049,ACORN: Performant and Predicate-Agnostic Search Over Vector Embeddings and Structured Data,https://arxiv.org/abs/2403.04871,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;hierarchical=true;subgraph_retrieval=true;dense=true;ann=true;graph_index=true;filter_aware=true;evaluation=true;benchmark=true;empirical_result=true;acl_before_exposure=true,"Controlled projection: retrieval=true, hierarchical=true, subgraph_retrieval=true, dense=true, ann=true, graph_index=true, filter_aware=true, evaluation=true, benchmark=true, empirical_result=true, acl_before_exposure=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-050,NaviX: A Native Vector Index Design for Graph DBMSs With Robust Predicate-Agnostic Search Performance,https://arxiv.org/abs/2506.23397,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;hierarchical=true;dense=true;disk_backed=true;filter_aware=true;evaluation=true;empirical_result=true;adaptive_strategy=true;ann=true;filter_first=true,"Controlled projection: retrieval=true, hierarchical=true, dense=true, disk_backed=true, filter_aware=true, evaluation=true, empirical_result=true, adaptive_strategy=true, ann=true, filter_first=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-051,Product Quantization for Nearest Neighbor Search,https://doi.org/10.1109/TPAMI.2010.57,A,PRIMARY_PAGE_INSPECTED,primary_page,retrieval=true;compression=true;ann_support=true;compressed_vectors=true,"Controlled projection: retrieval=true, compression=true, ann_support=true, compressed_vectors=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-052,Billion-scale similarity search with GPUs,https://arxiv.org/abs/1702.08734,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;hierarchical=true;compression=true;gpu_accelerated=true;scalability=true;dimension_contract=true;empirical_result=true;ann=true,"Controlled projection: retrieval=true, hierarchical=true, compression=true, gpu_accelerated=true, scalability=true, dimension_contract=true, empirical_result=true, ann=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-053,DiskANN: Fast Accurate Billion-point Nearest Neighbor Search on a Single Node,https://www.microsoft.com/en-us/research/publication/diskann-fast-accurate-billion-point-nearest-neighbor-search-on-a-single-node/,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;temporal_freshness=true;ann=true;graph_index=true;disk_backed=true;incremental_updates=true;recall_metric=true;latency=true;cost=true;empirical_result=true,"Controlled projection: retrieval=true, temporal_freshness=true, ann=true, graph_index=true, disk_backed=true, incremental_updates=true, recall_metric=true, latency=true, cost=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-054,FreshDiskANN: A Fast and Accurate Graph-Based ANN Index for Streaming Similarity Search,https://arxiv.org/abs/2105.09613,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;temporal_freshness=true;ann=true;graph_index=true;disk_backed=true;incremental_updates=true;recall_metric=true;latency=true;cost=true;empirical_result=true,"Controlled projection: retrieval=true, temporal_freshness=true, ann=true, graph_index=true, disk_backed=true, incremental_updates=true, recall_metric=true, latency=true, cost=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-055,SPFresh: Incremental In-Place Update for Billion-Scale Vector Search,https://arxiv.org/abs/2410.14452,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;temporal_freshness=true;dataset_shift=true;ann=true;incremental_updates=true;latency=true;cost=true;scalability=true;dimension_contract=true;empirical_result=true,"Controlled projection: retrieval=true, temporal_freshness=true, dataset_shift=true, ann=true, incremental_updates=true, latency=true, cost=true, scalability=true, dimension_contract=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-056,Manu: A Cloud Native Vector Database Management System,https://arxiv.org/abs/2206.13843,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;generation=true;scalability=true;embedding_model=true,"Controlled projection: retrieval=true, generation=true, scalability=true, embedding_model=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-057,Query Resolution for Conversational Search with Limited Supervision,https://arxiv.org/abs/2005.11723,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;generation=true;empirical_result=true,"Controlled projection: retrieval=true, generation=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-058,Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity,https://arxiv.org/abs/2403.14403,B,PRIMARY_ABSTRACT_INSPECTED,abstract,rag=true;retrieval=true;generation=true;external_knowledge=true;parametric_memory=true;open_domain_qa=true;multi_hop=true;adaptive_strategy=true;bedrock_kb=true,"Controlled projection: rag=true, retrieval=true, generation=true, external_knowledge=true, parametric_memory=true, open_domain_qa=true, multi_hop=true, adaptive_strategy=true, bedrock_kb=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-059,Retrieval Augmented Generation or Long-Context LLMs? A Comprehensive Study and Hybrid Approach,https://arxiv.org/abs/2407.16833,B,PRIMARY_ABSTRACT_INSPECTED,abstract,rag=true;retrieval=true;generation=true;long_context=true;evaluation=true;benchmark=true;cost=true;self_reflection=true;empirical_result=true,"Controlled projection: rag=true, retrieval=true, generation=true, long_context=true, evaluation=true, benchmark=true, cost=true, self_reflection=true, empirical_result=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-060,Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions,https://arxiv.org/abs/2212.10509,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;generation=true;external_knowledge=true;knowledge_intensive=true;hallucination=true;temporal_freshness=true;iterative=true;multi_hop=true;empirical_result=true;bounded_steps=true;evidence_trace=true,"Controlled projection: retrieval=true, generation=true, external_knowledge=true, knowledge_intensive=true, hallucination=true, temporal_freshness=true, iterative=true, multi_hop=true, empirical_result=true, bounded_steps=true, evidence_trace=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-061,Query Rewriting for Retrieval-Augmented Large Language Models,https://arxiv.org/abs/2305.14283,B,PRIMARY_ABSTRACT_INSPECTED,abstract,rag=true;retrieval=true;generation=true;knowledge_intensive=true;open_domain_qa=true;query_rewrite=true;evaluation=true;scalability=true;empirical_result=true;original_query_trace=true,"Controlled projection: rag=true, retrieval=true, generation=true, knowledge_intensive=true, open_domain_qa=true, query_rewrite=true, evaluation=true, scalability=true, empirical_result=true, original_query_trace=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-062,Document Expansion by Query Prediction,https://arxiv.org/abs/1904.08375,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;generated_query_representation=true;rerank=true;latency=true;empirical_result=true;generated_terms=true;original_text_preserved=true,"Controlled projection: retrieval=true, generated_query_representation=true, rerank=true, latency=true, empirical_result=true, generated_terms=true, original_text_preserved=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-063,Query2doc: Query Expansion with Large Language Models,https://arxiv.org/abs/2303.07678,B,PRIMARY_ABSTRACT_INSPECTED,abstract,retrieval=true;generation=true;dense=true;tf_saturation=true;length_normalization=true;generated_query_representation=true;empirical_result=true;original_query_retained=true,"Controlled projection: retrieval=true, generation=true, dense=true, tf_saturation=true, length_normalization=true, generated_query_representation=true, empirical_result=true, original_query_retained=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
SRC-064,Reciprocal rank fusion outperforms condorcet and individual rank learning methods,https://dl.acm.org/doi/10.1145/1571941.1572114,A,PRIMARY_PAGE_INSPECTED,primary_page,ranks_only=true;empirical_result=true;candidate_ids_stable=true;k_positive=true,"Controlled projection: ranks_only=true, empirical_result=true, candidate_ids_stable=true, k_positive=true",2026-08-15,Primary-source text is not reproduced; only a controlled-vocabulary projection is retained.
